case,target,family,feature_count,prime,exact,rank,pivots,matches,total_rows,first_mismatch,notes
ex286,pair_count_0,counts,9,101,0,4,4,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,counts,9,101,0,3,3,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,counts,9,101,0,3,3,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,counts,9,101,0,3,3,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,counts,9,101,0,4,4,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,counts,9,101,0,4,4,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,counts,9,101,0,4,4,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,counts_selectors,12,101,0,5,5,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,counts_selectors,12,101,0,3,3,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,counts_selectors,12,101,0,3,3,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,counts_selectors,12,101,0,3,3,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,counts_selectors,12,101,0,5,5,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,counts_selectors,12,101,0,4,4,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,counts_selectors,12,101,0,5,5,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,prefix_selectors,12,101,0,5,5,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,prefix_selectors,12,101,0,3,3,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,prefix_selectors,12,101,0,3,3,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,prefix_selectors,12,101,0,3,3,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,prefix_selectors,12,101,0,5,5,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
