case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_booth_radix4_balanced_abc_g_aig,unsigned_square_x_times_x,booth_radix4_balanced+abc_g_aig,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex273/verilog/ex273_square_booth_radix4_balanced.v,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex273/aigs/ex273_square_booth_radix4_balanced_abc_g_aig.aig,1,1,1,1393,63,87759,15078,5.820334,0,0,2.873,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=booth_radix4_balanced; flow=abc_g_aig
ex273,ex273_square_booth_radix4_balanced_wreduce_abc_g_aig,unsigned_square_x_times_x,booth_radix4_balanced+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex273/verilog/ex273_square_booth_radix4_balanced.v,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex273/aigs/ex273_square_booth_radix4_balanced_wreduce_abc_g_aig.aig,1,1,1,1388,63,87444,15078,5.799443,0,0,2.993,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=booth_radix4_balanced; flow=wreduce_abc_g_aig
ex273,ex273_square_booth_radix4_balanced_synth_preset,unsigned_square_x_times_x,booth_radix4_balanced+synth_preset,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex273/verilog/ex273_square_booth_radix4_balanced.v,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex273/aigs/ex273_square_booth_radix4_balanced_synth_preset.aig,1,1,1,1471,62,91202,15078,6.048680,0,0,1.118,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=booth_radix4_balanced; flow=synth_preset
ex273,ex273_square_booth_radix4_balanced_synth_preset_d20,unsigned_square_x_times_x,booth_radix4_balanced+synth_preset_d20,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex273/verilog/ex273_square_booth_radix4_balanced.v,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex273/aigs/ex273_square_booth_radix4_balanced_synth_preset_d20.aig,1,1,1,1471,62,91202,15078,6.048680,0,0,1.096,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=booth_radix4_balanced; flow=synth_preset_d20
ex274,ex274_square_booth_radix4_balanced_abc_g_aig,unsigned_square_x_times_x,booth_radix4_balanced+abc_g_aig,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex274/verilog/ex274_square_booth_radix4_balanced.v,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex274/aigs/ex274_square_booth_radix4_balanced_abc_g_aig.aig,1,1,1,1797,73,131181,21630,6.064771,0,0,6.795,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=booth_radix4_balanced; flow=abc_g_aig
ex274,ex274_square_booth_radix4_balanced_wreduce_abc_g_aig,unsigned_square_x_times_x,booth_radix4_balanced+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex274/verilog/ex274_square_booth_radix4_balanced.v,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex274/aigs/ex274_square_booth_radix4_balanced_wreduce_abc_g_aig.aig,1,1,1,1796,74,132904,21630,6.144429,0,0,6.785,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=booth_radix4_balanced; flow=wreduce_abc_g_aig
ex274,ex274_square_booth_radix4_balanced_synth_preset,unsigned_square_x_times_x,booth_radix4_balanced+synth_preset,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex274/verilog/ex274_square_booth_radix4_balanced.v,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex274/aigs/ex274_square_booth_radix4_balanced_synth_preset.aig,1,1,1,1934,69,133446,21630,6.169487,0,0,3.845,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=booth_radix4_balanced; flow=synth_preset
ex274,ex274_square_booth_radix4_balanced_synth_preset_d20,unsigned_square_x_times_x,booth_radix4_balanced+synth_preset_d20,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex274/verilog/ex274_square_booth_radix4_balanced.v,student/work/ex273_ex274_frontend_square_booth_radix4_20260609_1345/ex274/aigs/ex274_square_booth_radix4_balanced_synth_preset_d20.aig,1,1,1,1934,69,133446,21630,6.169487,0,0,3.930,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=booth_radix4_balanced; flow=synth_preset_d20
