case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_signcorr_core_mul_abc_g_aig,signed low4_high4:a*b,signcorr_core_mul+abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_signcorr_core_mul.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_mul_abc_g_aig.aig,1,1,1,88,21,1848,657,2.812785,0,0,0.251,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_mul; flow=abc_g_aig
ex260,ex260_smul_signcorr_core_mul_wreduce_abc_g_aig,signed low4_high4:a*b,signcorr_core_mul+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_signcorr_core_mul.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_mul_wreduce_abc_g_aig.aig,1,1,1,92,23,2116,657,3.220700,0,0,0.286,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_mul; flow=wreduce_abc_g_aig
ex260,ex260_smul_signcorr_core_mul_synth_preset_d11,signed low4_high4:a*b,signcorr_core_mul+synth_preset_d11,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_signcorr_core_mul.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_mul_synth_preset_d11.aig,1,1,1,92,19,1748,657,2.660578,0,0,0.274,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_mul; flow=synth_preset_d11
ex260,ex260_smul_signcorr_core_mul_synth_preset_d13,signed low4_high4:a*b,signcorr_core_mul+synth_preset_d13,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_signcorr_core_mul.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_mul_synth_preset_d13.aig,1,1,1,92,19,1748,657,2.660578,0,0,0.274,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_mul; flow=synth_preset_d13
ex260,ex260_smul_signcorr_core_wallace_abc_g_aig,signed low4_high4:a*b,signcorr_core_wallace+abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_signcorr_core_wallace.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_wallace_abc_g_aig.aig,1,1,1,89,19,1691,657,2.573820,0,0,0.266,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_wallace; flow=abc_g_aig
ex260,ex260_smul_signcorr_core_wallace_wreduce_abc_g_aig,signed low4_high4:a*b,signcorr_core_wallace+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_signcorr_core_wallace.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_wallace_wreduce_abc_g_aig.aig,1,1,1,89,19,1691,657,2.573820,0,0,0.250,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_wallace; flow=wreduce_abc_g_aig
ex260,ex260_smul_signcorr_core_wallace_synth_preset_d11,signed low4_high4:a*b,signcorr_core_wallace+synth_preset_d11,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_signcorr_core_wallace.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_wallace_synth_preset_d11.aig,1,1,1,93,17,1581,657,2.406393,0,0,0.309,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_wallace; flow=synth_preset_d11
ex260,ex260_smul_signcorr_core_wallace_synth_preset_d13,signed low4_high4:a*b,signcorr_core_wallace+synth_preset_d13,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_signcorr_core_wallace.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_wallace_synth_preset_d13.aig,1,1,1,93,17,1581,657,2.406393,0,0,0.305,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_wallace; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.218,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d11,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.297,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
