case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex240,ex240_semantic_add_sigalg_norm_default,fp8_e4m3fn_add,semantic_add_sigalg_norm_default,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm.v,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm_default.aig,1,1,1,960,82,78720,13299,5.919242,0,0,1.668,add via aligned 4-bit significands and local normalizer,semantic_exact,
ex240,ex240_semantic_add_sigalg_norm_abc_g_aig,fp8_e4m3fn_add,semantic_add_sigalg_norm_abc_g_aig,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm.v,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm_abc_g_aig.aig,1,1,1,935,80,74800,13299,5.624483,0,0,1.900,add via aligned 4-bit significands and local normalizer,semantic_exact,
ex240,ex240_semantic_add_sigalg_norm_synth_preset,fp8_e4m3fn_add,semantic_add_sigalg_norm_synth_preset,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm.v,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm_synth_preset.aig,1,1,1,1175,96,112800,13299,8.481841,0,0,1.963,add via aligned 4-bit significands and local normalizer,semantic_exact,
ex240,ex240_semantic_add_sigalg_norm_synth_preset_aig,fp8_e4m3fn_add,semantic_add_sigalg_norm_synth_preset_aig,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm.v,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm_synth_preset_aig.aig,1,1,1,1136,96,109056,13299,8.200316,0,0,1.995,add via aligned 4-bit significands and local normalizer,semantic_exact,
ex240,ex240_semantic_add_sigalg_norm9_clamped_default,fp8_e4m3fn_add,semantic_add_sigalg_norm9_clamped_default,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm9_clamped.v,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm9_clamped_default.aig,1,1,1,792,67,53064,13299,3.990074,0,0,1.478,add via gap-clamped 9-bit significand normalizer,semantic_exact,
ex240,ex240_semantic_add_sigalg_norm9_clamped_abc_g_aig,fp8_e4m3fn_add,semantic_add_sigalg_norm9_clamped_abc_g_aig,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm9_clamped.v,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm9_clamped_abc_g_aig.aig,1,1,1,767,67,51389,13299,3.864125,0,0,1.526,add via gap-clamped 9-bit significand normalizer,semantic_exact,
ex240,ex240_semantic_add_sigalg_norm9_clamped_synth_preset,fp8_e4m3fn_add,semantic_add_sigalg_norm9_clamped_synth_preset,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm9_clamped.v,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm9_clamped_synth_preset.aig,1,1,1,823,79,65017,13299,4.888864,0,0,1.766,add via gap-clamped 9-bit significand normalizer,semantic_exact,
ex240,ex240_semantic_add_sigalg_norm9_clamped_synth_preset_aig,fp8_e4m3fn_add,semantic_add_sigalg_norm9_clamped_synth_preset_aig,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm9_clamped.v,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm9_clamped_synth_preset_aig.aig,1,1,1,793,79,62647,13299,4.710655,0,0,1.779,add via gap-clamped 9-bit significand normalizer,semantic_exact,
ex240,ex240_semantic_add_sigalg_norm9_param_default,fp8_e4m3fn_add,semantic_add_sigalg_norm9_param_default,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm9_param.v,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm9_param_default.aig,1,1,1,786,54,42444,13299,3.191518,0,0,1.673,add via gap-clamped 9-bit significand normalizer with local param table,semantic_exact,
ex240,ex240_semantic_add_sigalg_norm9_param_abc_g_aig,fp8_e4m3fn_add,semantic_add_sigalg_norm9_param_abc_g_aig,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/verilog/ex240_semantic_add_sigalg_norm9_param.v,student/work/ex240_frontend_fp8_grs_parallel_20260608_1401/ex240/aigs/ex240_semantic_add_sigalg_norm9_param_abc_g_aig.aig,1,1,1,764,53,40492,13299,3.044740,0,0,1.869,add via gap-clamped 9-bit significand normalizer with local param table,semantic_exact,
