case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex280,ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top3,unknown_key_cofactor_bdd,prefix_parity_reduce_top3,student/work/ex280_ex284_frontend_bdd_key_cofactor_20260608_1807/ex280/verilog/ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top3.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_20260608_1807/ex280/aigs/ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top3.aig,755,29,21895,transform=prefix_parity_reduce; outer_bits=0:11:1; inner_bits=2:3:4:5:6:7:8:9:10; group_bdd_nodes=183:239:197:246:246:197:245:205; total_group_bdd_nodes=1758; hash=80aa850b2ce7,unknown transformed-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_cofactor_bdd_prefix_parity_reduce_top2,unknown_key_cofactor_bdd,prefix_parity_reduce_top2,student/work/ex280_ex284_frontend_bdd_key_cofactor_20260608_1807/ex281/verilog/ex281_unknown_key_cofactor_bdd_prefix_parity_reduce_top2.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_20260608_1807/ex281/aigs/ex281_unknown_key_cofactor_bdd_prefix_parity_reduce_top2.aig,985,30,29550,transform=prefix_parity_reduce; outer_bits=0:12; inner_bits=1:2:3:4:5:6:7:8:9:10:11; group_bdd_nodes=371:373:376:380; total_group_bdd_nodes=1500; hash=b9b1c575728c,unknown transformed-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_cofactor_bdd_prefix_parity_reduce_top3,unknown_key_cofactor_bdd,prefix_parity_reduce_top3,student/work/ex280_ex284_frontend_bdd_key_cofactor_20260608_1807/ex282/verilog/ex282_unknown_key_cofactor_bdd_prefix_parity_reduce_top3.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_20260608_1807/ex282/aigs/ex282_unknown_key_cofactor_bdd_prefix_parity_reduce_top3.aig,1081,33,35673,transform=prefix_parity_reduce; outer_bits=0:13:1; inner_bits=2:3:4:5:6:7:8:9:10:11:12; group_bdd_nodes=311:377:325:384:384:325:383:333; total_group_bdd_nodes=2822; hash=9fb42f251f47,unknown transformed-key cofactor-BDD Verilog seed
ex283,ex283_unknown_key_cofactor_bdd_prefix_parity_reduce_top3,unknown_key_cofactor_bdd,prefix_parity_reduce_top3,student/work/ex280_ex284_frontend_bdd_key_cofactor_20260608_1807/ex283/verilog/ex283_unknown_key_cofactor_bdd_prefix_parity_reduce_top3.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_20260608_1807/ex283/aigs/ex283_unknown_key_cofactor_bdd_prefix_parity_reduce_top3.aig,1169,38,44422,transform=prefix_parity_reduce; outer_bits=0:14:1; inner_bits=2:3:4:5:6:7:8:9:10:11:12:13; group_bdd_nodes=386:457:400:464:464:400:463:408; total_group_bdd_nodes=3442; hash=ab0e54ba057b,unknown transformed-key cofactor-BDD Verilog seed
ex284,ex284_unknown_key_cofactor_bdd_prefix_parity_reduce_top3,unknown_key_cofactor_bdd,prefix_parity_reduce_top3,student/work/ex280_ex284_frontend_bdd_key_cofactor_20260608_1807/ex284/verilog/ex284_unknown_key_cofactor_bdd_prefix_parity_reduce_top3.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_20260608_1807/ex284/aigs/ex284_unknown_key_cofactor_bdd_prefix_parity_reduce_top3.aig,1385,38,52630,transform=prefix_parity_reduce; outer_bits=0:15:1; inner_bits=2:3:4:5:6:7:8:9:10:11:12:13:14; group_bdd_nodes=455:531:469:538:538:469:537:477; total_group_bdd_nodes=4014; hash=35fc4739fe1d,unknown transformed-key cofactor-BDD Verilog seed
