round,run_id,agent_id,case,candidate_id,official_status,equivalent,area,delay,adp,reference_adp,current_adp,frontend_best_adp,verilog_path,aig_path,log_path,notes,output_dir,evaluate_log,runtime_sec,method_signature,shard_csv,status,frontend_adp,improves_frontend,beats_current,beats_reference,eval_log,hypothesis,variant,verified_truth,current_frontend_adp,improves_current,eval_status,synth_log,evaluate_status,domain
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,ex223_r78_low11_split_keep_highrun_abc_g_aig,OK,1,10797,19,205143,,,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=11; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24",student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low11_split_keep_highrun_abc_g_aig,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low11_split_keep_highrun_abc_g_aig/ex223_r78_low11_split_keep_highrun_abc_g_aig.evaluate.py.log,1.333,ex223|fp16_log|nested_log_boundary_low11_hi15_to_11|high-vs-low_output_boundary_plus_kept_high-run_output_registers|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/evaluation_results.csv,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,ex223_r78_low11_pred_helper_split_abc_g_aig,OK,1,10779,19,204801,,,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=11; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24",student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low11_pred_helper_split_abc_g_aig,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low11_pred_helper_split_abc_g_aig/ex223_r78_low11_pred_helper_split_abc_g_aig.evaluate.py.log,1.416,ex223|fp16_log|nested_log_boundary_low11_hi15_to_11|positive-normal_helper_module_plus_grouped_high-vs-low_output_assigns|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/evaluation_results.csv,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex225,ex225_r78_low12_split_no_keep_abc_g_aig,OK,1,11533,19,219127,,,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low12_split_no_keep_abc_g_aig,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low12_split_no_keep_abc_g_aig/ex225_r78_low12_split_no_keep_abc_g_aig.evaluate.py.log,1.390,ex225|fp16_log10|nested_log_boundary_low12_hi15_to_12|high-vs-low_grouped_output_assigns_with_no_extra_keep|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/evaluation_results.csv,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex225,ex225_r78_low12_split_keep_decode_abc_g_aig,OK,1,11547,19,219393,,,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low12_split_keep_decode_abc_g_aig,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low12_split_keep_decode_abc_g_aig/ex225_r78_low12_split_keep_decode_abc_g_aig.evaluate.py.log,1.388,ex225|fp16_log10|nested_log_boundary_low12_hi15_to_12|high-vs-low_grouped_output_assigns_plus_kept_sign_exp/mant/active_decode|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/evaluation_results.csv,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex225,ex225_r78_low12_split_keep_highrun_abc_g_aig,OK,1,11526,19,218994,,,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low12_split_keep_highrun_abc_g_aig,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low12_split_keep_highrun_abc_g_aig/ex225_r78_low12_split_keep_highrun_abc_g_aig.evaluate.py.log,1.383,ex225|fp16_log10|nested_log_boundary_low12_hi15_to_12|high-vs-low_output_boundary_plus_kept_high-run_output_registers|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/evaluation_results.csv,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex225,ex225_r78_low12_pred_helper_split_abc_g_aig,OK,1,11550,19,219450,,,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low12_pred_helper_split_abc_g_aig,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low12_pred_helper_split_abc_g_aig/ex225_r78_low12_pred_helper_split_abc_g_aig.evaluate.py.log,1.376,ex225|fp16_log10|nested_log_boundary_low12_hi15_to_12|positive-normal_helper_module_plus_grouped_high-vs-low_output_assigns|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/evaluation_results.csv,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex225,ex225_r78_low13_split_no_keep_abc_g_aig,OK,1,11520,20,230400,,,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low13_split_no_keep_abc_g_aig,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low13_split_no_keep_abc_g_aig/ex225_r78_low13_split_no_keep_abc_g_aig.evaluate.py.log,1.427,ex225|fp16_log10|nested_log_boundary_low13_hi15_to_13|high-vs-low_grouped_output_assigns_with_no_extra_keep|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/evaluation_results.csv,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex225,ex225_r78_low13_split_keep_decode_abc_g_aig,OK,1,11528,20,230560,,,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low13_split_keep_decode_abc_g_aig,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low13_split_keep_decode_abc_g_aig/ex225_r78_low13_split_keep_decode_abc_g_aig.evaluate.py.log,1.385,ex225|fp16_log10|nested_log_boundary_low13_hi15_to_13|high-vs-low_grouped_output_assigns_plus_kept_sign_exp/mant/active_decode|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/evaluation_results.csv,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex225,ex225_r78_low13_split_keep_highrun_abc_g_aig,OK,1,11516,20,230320,,,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low13_split_keep_highrun_abc_g_aig,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low13_split_keep_highrun_abc_g_aig/ex225_r78_low13_split_keep_highrun_abc_g_aig.evaluate.py.log,1.476,ex225|fp16_log10|nested_log_boundary_low13_hi15_to_13|high-vs-low_output_boundary_plus_kept_high-run_output_registers|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/evaluation_results.csv,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex225,ex225_r78_low13_pred_helper_split_abc_g_aig,OK,1,11499,20,229980,,,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low13_pred_helper_split_abc_g_aig,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low13_pred_helper_split_abc_g_aig/ex225_r78_low13_pred_helper_split_abc_g_aig.evaluate.py.log,1.389,ex225|fp16_log10|nested_log_boundary_low13_hi15_to_13|positive-normal_helper_module_plus_grouped_high-vs-low_output_assigns|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/evaluation_results.csv,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex225,ex225_r78_low11_split_no_keep_abc_g_aig,OK,1,11536,19,219184,,,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=11; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; b11:runs=45,max=7,const=24",student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low11_split_no_keep_abc_g_aig,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex225/official_eval/ex225_r78_low11_split_no_keep_abc_g_aig/ex225_r78_low11_split_no_keep_abc_g_aig.evaluate.py.log,1.405,ex225|fp16_log10|nested_log_boundary_low11_hi15_to_11|high-vs-low_grouped_output_assigns_with_no_extra_keep|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/evaluation_results.csv,,,,,,,,,,,,,,,
