case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_radix4_compact_digit_abc_g_aig,1,130,22,2860,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex266/aigs/ex266_udiv_radix4_compact_digit_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_compact_digit; flow=abc_g_aig
ex266,ex266_udiv_radix4_compact_digit_wreduce_abc_g_aig,1,131,22,2882,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex266/aigs/ex266_udiv_radix4_compact_digit_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_compact_digit; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_compact_digit_synth_preset,1,128,20,2560,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex266/aigs/ex266_udiv_radix4_compact_digit_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset
ex266,ex266_udiv_radix4_compact_digit_synth_preset_d8,1,128,20,2560,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex266/aigs/ex266_udiv_radix4_compact_digit_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset_d8
ex266,ex266_udiv_radix4_compact_digit_synth_preset_d10,1,128,20,2560,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex266/aigs/ex266_udiv_radix4_compact_digit_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset_d10
ex266,ex266_udiv_radix4_top3_compact_digit_abc_g_aig,1,143,27,3861,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex266/aigs/ex266_udiv_radix4_top3_compact_digit_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=abc_g_aig
ex266,ex266_udiv_radix4_top3_compact_digit_wreduce_abc_g_aig,1,140,26,3640,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex266/aigs/ex266_udiv_radix4_top3_compact_digit_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_top3_compact_digit_synth_preset,1,134,25,3350,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex266/aigs/ex266_udiv_radix4_top3_compact_digit_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=synth_preset
ex266,ex266_udiv_radix4_top3_compact_digit_synth_preset_d8,1,134,25,3350,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex266/aigs/ex266_udiv_radix4_top3_compact_digit_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=synth_preset_d8
ex266,ex266_udiv_radix4_top3_compact_digit_synth_preset_d10,1,134,25,3350,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex266/aigs/ex266_udiv_radix4_top3_compact_digit_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=synth_preset_d10
ex267,ex267_udiv_radix4_compact_digit_abc_g_aig,1,190,28,5320,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_compact_digit_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_compact_digit; flow=abc_g_aig
ex267,ex267_udiv_radix4_compact_digit_wreduce_abc_g_aig,1,193,28,5404,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_compact_digit_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_compact_digit; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_compact_digit_synth_preset,1,194,28,5432,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_compact_digit_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset
ex267,ex267_udiv_radix4_compact_digit_synth_preset_d8,1,194,28,5432,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_compact_digit_synth_preset_d8.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset_d8
ex267,ex267_udiv_radix4_compact_digit_synth_preset_d10,1,194,28,5432,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_compact_digit_synth_preset_d10.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset_d10
ex267,ex267_udiv_radix4_top3_compact_digit_abc_g_aig,1,190,28,5320,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_top3_compact_digit_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=abc_g_aig
