case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex276,ex276_isqrt_prefix5_ge_bitwise_synth_preset,unsigned_floor_isqrt,prefix5_ge_bitwise+synth_preset,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_bitwise_synth_preset.aig,1,1,1,118,9,1062,632,1.680380,0,0,0.337,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_bitwise; flow=synth_preset
ex276,ex276_isqrt_prefix5_ge_bitwise_synth_preset_d6,unsigned_floor_isqrt,prefix5_ge_bitwise+synth_preset_d6,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_bitwise_synth_preset_d6.aig,1,1,1,118,9,1062,632,1.680380,0,0,0.337,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_bitwise; flow=synth_preset_d6
ex276,ex276_isqrt_prefix5_ge_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix5_ge_bitwise+synth_preset_d8,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_bitwise_synth_preset_d8.aig,1,1,1,118,9,1062,632,1.680380,0,0,0.333,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_bitwise; flow=synth_preset_d8
ex276,ex276_isqrt_prefix5_ge_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix5_ge_bitwise+synth_preset_d10,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_bitwise_synth_preset_d10.aig,1,1,1,118,9,1062,632,1.680380,0,0,0.338,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_bitwise; flow=synth_preset_d10
ex276,ex276_isqrt_prefix5_ge_tree_msb_abc_g_aig,unsigned_floor_isqrt,prefix5_ge_tree_msb+abc_g_aig,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_tree_msb.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_tree_msb_abc_g_aig.aig,1,1,1,106,12,1272,632,2.012658,0,0,0.233,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_tree_msb; flow=abc_g_aig
ex276,ex276_isqrt_prefix5_ge_tree_msb_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix5_ge_tree_msb+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_tree_msb.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_tree_msb_wreduce_abc_g_aig.aig,1,1,1,106,12,1272,632,2.012658,0,0,0.240,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_tree_msb; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_prefix5_ge_tree_msb_arith_wreduce_aig,unsigned_floor_isqrt,prefix5_ge_tree_msb+arith_wreduce_aig,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_tree_msb.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_tree_msb_arith_wreduce_aig.aig,1,1,1,105,12,1260,632,1.993671,0,0,0.246,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_tree_msb; flow=arith_wreduce_aig
ex276,ex276_isqrt_prefix5_ge_tree_msb_synth_preset,unsigned_floor_isqrt,prefix5_ge_tree_msb+synth_preset,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_tree_msb.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_tree_msb_synth_preset.aig,1,1,1,104,11,1144,632,1.810127,0,0,0.316,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_tree_msb; flow=synth_preset
ex276,ex276_isqrt_prefix5_ge_tree_msb_synth_preset_d6,unsigned_floor_isqrt,prefix5_ge_tree_msb+synth_preset_d6,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_tree_msb.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_tree_msb_synth_preset_d6.aig,1,1,1,104,11,1144,632,1.810127,0,0,0.316,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_tree_msb; flow=synth_preset_d6
ex276,ex276_isqrt_prefix5_ge_tree_msb_synth_preset_d8,unsigned_floor_isqrt,prefix5_ge_tree_msb+synth_preset_d8,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_tree_msb.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_tree_msb_synth_preset_d8.aig,1,1,1,104,11,1144,632,1.810127,0,0,0.320,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_tree_msb; flow=synth_preset_d8
ex276,ex276_isqrt_prefix5_ge_tree_msb_synth_preset_d10,unsigned_floor_isqrt,prefix5_ge_tree_msb+synth_preset_d10,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_tree_msb.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_tree_msb_synth_preset_d10.aig,1,1,1,104,11,1144,632,1.810127,0,0,0.321,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_tree_msb; flow=synth_preset_d10
