case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_case_b_signed_const_abc_g_aig,1,190,10,1900,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_case_b_signed_const_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=case_b_signed_const; flow=abc_g_aig
ex260,ex260_smul_case_b_signed_const_wreduce_abc_g_aig,1,191,10,1910,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_case_b_signed_const_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=case_b_signed_const; flow=wreduce_abc_g_aig
ex260,ex260_smul_case_b_signed_const_synth_preset_d9,1,188,10,1880,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_case_b_signed_const_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=case_b_signed_const; flow=synth_preset_d9
ex260,ex260_smul_case_b_signed_const_synth_preset_d13,1,188,10,1880,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_case_b_signed_const_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=case_b_signed_const; flow=synth_preset_d13
ex260,ex260_smul_case_b_signed_const_synth_preset_d18,1,188,10,1880,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_case_b_signed_const_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=case_b_signed_const; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,92,13,1196,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9,1,92,14,1288,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,92,14,1288,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,1,92,14,1288,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_rev_abc_g_aig,1,88,14,1232,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,1,88,14,1232,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d9,1,88,14,1232,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13,1,88,14,1232,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d18,1,88,14,1232,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig,1,90,16,1440,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_csel3_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9,1,91,14,1274,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d13,1,91,14,1274,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d18,1,91,14,1274,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d18
ex261,ex261_smul_case_b_signed_const_abc_g_aig,1,526,19,9994,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex261/aigs/ex261_smul_case_b_signed_const_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=case_b_signed_const; flow=abc_g_aig
ex261,ex261_smul_case_b_signed_const_wreduce_abc_g_aig,1,530,19,10070,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex261/aigs/ex261_smul_case_b_signed_const_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=case_b_signed_const; flow=wreduce_abc_g_aig
