case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top5_first_classsop_endpoint,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint.aig,1,1,1,750,29,21750,1.143,transform=prefix_parity_reduce; outer_bits=0:11:1:10:2; inner_bits=3:4:5:6:7:8:9; class_encoding=first; outer_states=32; class_count=28; unique_reps=0:1:2:3:4:5:6:7:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31; mux_style=classsop; inner_order_style=endpoint; old_group_bdd_nodes=3456; unique_group_bdd_nodes=3011; group_bdd_nodes=77:84:84:86:125:119:121:121:91:97:94:126:126:123:124:121:124:117:95:95:92:95:126:116:126:102:106:98; hash=56fce4c43a0c,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top5_first_classsop_endpoint_rev,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint_rev.aig,1,1,1,769,25,19225,1.165,transform=prefix_parity_reduce; outer_bits=0:11:1:10:2; inner_bits=3:4:5:6:7:8:9; class_encoding=first; outer_states=32; class_count=28; unique_reps=0:1:2:3:4:5:6:7:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31; mux_style=classsop; inner_order_style=endpoint_rev; old_group_bdd_nodes=3456; unique_group_bdd_nodes=3058; group_bdd_nodes=78:83:83:88:129:125:126:127:91:98:93:130:130:127:126:124:126:120:95:93:93:95:127:118:127:102:104:100; hash=45feb6fbebcc,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top6_first_classsop_endpoint,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint.aig,1,1,1,780,26,20280,1.310,transform=prefix_parity_reduce; outer_bits=0:11:1:10:2:9; inner_bits=3:4:5:6:7:8; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classsop; inner_order_style=endpoint; old_group_bdd_nodes=4573; unique_group_bdd_nodes=3576; group_bdd_nodes=61:68:68:72:72:69:67:73:67:68:68:66:74:74:74:71:75:70:72:75:73:67:73:70:70:67:68:71:71:74:72:70:72:66:71:74:74:71:78:75:78:66:73:79:73:73:78:73:80:72; hash=521c51153b56,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top6_first_classsop_endpoint_rev,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint_rev.aig,1,1,1,759,26,19734,1.409,transform=prefix_parity_reduce; outer_bits=0:11:1:10:2:9; inner_bits=3:4:5:6:7:8; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classsop; inner_order_style=endpoint_rev; old_group_bdd_nodes=4573; unique_group_bdd_nodes=3736; group_bdd_nodes=64:71:71:77:77:74:71:78:71:72:72:70:77:77:77:73:78:72:75:78:77:70:77:73:73:70:70:73:73:79:74:75:74:68:73:79:79:73:81:78:81:69:76:81:76:76:81:75:82:75; hash=881fcd94ea8b,unknown canonical prefix-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top5_first_classsop_endpoint,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex281/aigs/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint.aig,1,1,1,921,31,28551,1.833,transform=prefix_parity_reduce; outer_bits=0:12:1:11:2; inner_bits=3:4:5:6:7:8:9:10; class_encoding=first; outer_states=32; class_count=28; unique_reps=0:1:2:3:4:5:6:7:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31; mux_style=classsop; inner_order_style=endpoint; old_group_bdd_nodes=5238; unique_group_bdd_nodes=4570; group_bdd_nodes=126:133:133:138:186:181:182:182:141:149:144:189:189:184:185:182:185:179:145:142:142:145:188:179:188:150:154:149; hash=d9b44390eef6,unknown canonical prefix-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top5_first_classsop_endpoint_rev,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex281/aigs/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint_rev.aig,1,1,1,901,34,30634,1.825,transform=prefix_parity_reduce; outer_bits=0:12:1:11:2; inner_bits=3:4:5:6:7:8:9:10; class_encoding=first; outer_states=32; class_count=28; unique_reps=0:1:2:3:4:5:6:7:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31; mux_style=classsop; inner_order_style=endpoint_rev; old_group_bdd_nodes=5238; unique_group_bdd_nodes=4690; group_bdd_nodes=130:135:135:141:193:189:190:191:143:151:145:194:194:191:190:188:190:185:148:145:146:148:191:183:191:154:156:153; hash=27af1acecd87,unknown canonical prefix-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top6_first_classsop_endpoint,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex281/aigs/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint.aig,1,1,1,919,25,22975,2.095,transform=prefix_parity_reduce; outer_bits=0:12:1:11:2:10; inner_bits=3:4:5:6:7:8:9; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classsop; inner_order_style=endpoint; old_group_bdd_nodes=7602; unique_group_bdd_nodes=5938; group_bdd_nodes=107:115:115:118:118:115:115:118:115:116:116:111:120:120:120:117:121:116:118:121:120:114:120:117:117:114:116:119:119:125:120:121:120:114:119:125:125:119:124:121:124:116:122:124:122:122:124:117:125:121; hash=114b7a7a4160,unknown canonical prefix-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top6_first_classsop_endpoint_rev,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex281/aigs/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint_rev.aig,1,1,1,892,28,24976,2.097,transform=prefix_parity_reduce; outer_bits=0:12:1:11:2:10; inner_bits=3:4:5:6:7:8:9; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classsop; inner_order_style=endpoint_rev; old_group_bdd_nodes=7602; unique_group_bdd_nodes=6237; group_bdd_nodes=114:121:121:125:125:122:121:125:121:122:122:117:127:127:127:123:128:122:125:128:127:120:127:123:123:120:121:124:124:131:125:127:125:118:124:131:131:124:130:127:130:120:127:130:127:127:130:124:131:126; hash=e7f98fa76853,unknown canonical prefix-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top5_first_classsop_endpoint,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex282/aigs/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint.aig,1,1,1,1062,33,35046,3.047,transform=prefix_parity_reduce; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; class_encoding=first; outer_states=32; class_count=28; unique_reps=0:1:2:3:4:5:6:7:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31; mux_style=classsop; inner_order_style=endpoint; old_group_bdd_nodes=7010; unique_group_bdd_nodes=6120; group_bdd_nodes=179:186:186:191:244:239:240:240:194:202:197:247:247:242:243:240:243:237:197:195:194:197:246:237:246:203:207:201; hash=60d3e1c58899,unknown canonical prefix-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top5_first_classsop_endpoint_rev,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex282/aigs/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint_rev.aig,1,1,1,1026,35,35910,3.071,transform=prefix_parity_reduce; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; class_encoding=first; outer_states=32; class_count=28; unique_reps=0:1:2:3:4:5:6:7:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31; mux_style=classsop; inner_order_style=endpoint_rev; old_group_bdd_nodes=7010; unique_group_bdd_nodes=6268; group_bdd_nodes=184:189:189:195:252:248:249:250:197:205:199:253:253:250:249:247:249:244:201:199:199:201:250:242:250:208:210:206; hash=3e506bc6247c,unknown canonical prefix-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top6_first_classsop_endpoint,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex282/aigs/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint.aig,1,1,1,1010,31,31310,3.423,transform=prefix_parity_reduce; outer_bits=0:13:1:12:2:11; inner_bits=3:4:5:6:7:8:9:10; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classsop; inner_order_style=endpoint; old_group_bdd_nodes=10914; unique_group_bdd_nodes=8523; group_bdd_nodes=158:166:166:170:170:167:166:170:166:167:167:163:170:170:170:168:171:167:168:171:170:165:170:168:168:164:169:172:172:177:173:173:173:167:172:177:177:172:177:174:177:168:174:177:174:174:177:170:178:173; hash=d3a50ff05f98,unknown canonical prefix-key cofactor-BDD Verilog seed
