case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd_wordmux+abc_g_aig,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_abc_g_aig.aig,1,1,1,152,11,1672,848,1.971698,0,0,0.260,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd_wordmux+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_wreduce_abc_g_aig.aig,1,1,1,152,11,1672,848,1.971698,0,0,0.250,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd_wordmux+synth_preset,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset.aig,1,1,1,148,10,1480,848,1.745283,0,0,0.309,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd_wordmux+synth_preset_d8,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d8.aig,1,1,1,148,10,1480,848,1.745283,0,0,0.347,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd_wordmux+synth_preset_d10,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d10.aig,1,1,1,148,10,1480,848,1.745283,0,0,0.345,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd_wordmux+synth_preset_d12,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d12.aig,1,1,1,148,10,1480,848,1.745283,0,0,0.309,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_a43_bitbdd_wordmux+abc_g_aig,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/verilog/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_abc_g_aig.aig,1,1,1,166,10,1660,848,1.957547,0,0,0.298,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_a43_bitbdd_wordmux; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_a43_bitbdd_wordmux+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/verilog/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_wreduce_abc_g_aig.aig,1,1,1,166,10,1660,848,1.957547,0,0,0.280,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_a43_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_a43_bitbdd_wordmux+synth_preset,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/verilog/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_synth_preset.aig,1,1,1,163,10,1630,848,1.922170,0,0,0.350,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_a43_bitbdd_wordmux; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_a43_bitbdd_wordmux+synth_preset_d8,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/verilog/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_synth_preset_d8.aig,1,1,1,163,10,1630,848,1.922170,0,0,0.367,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_a43_bitbdd_wordmux; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_a43_bitbdd_wordmux+synth_preset_d10,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/verilog/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_synth_preset_d10.aig,1,1,1,163,10,1630,848,1.922170,0,0,0.377,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_a43_bitbdd_wordmux; flow=synth_preset_d10
