case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,notes
ex289,ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_case_global,unknown_duality_symcof,split2_f00_bits_0_1_12_13_case_global,student/work/ex289_frontend_duality_symcof_split2_muxshare_20260609_1113/ex289/verilog/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_case_global.v,student/work/ex289_frontend_duality_symcof_split2_muxshare_20260609_1113/ex289/aigs/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_case_global.aig,1,1,1116,21,23436,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_tree_global,unknown_duality_symcof,split2_f00_bits_0_1_12_13_tree_global,student/work/ex289_frontend_duality_symcof_split2_muxshare_20260609_1113/ex289/verilog/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_tree_global.v,student/work/ex289_frontend_duality_symcof_split2_muxshare_20260609_1113/ex289/aigs/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_tree_global.aig,1,1,1166,24,27984,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_global,unknown_duality_symcof,split2_f00_bits_0_1_12_13_onehot_global,student/work/ex289_frontend_duality_symcof_split2_muxshare_20260609_1113/ex289/verilog/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_global.v,student/work/ex289_frontend_duality_symcof_split2_muxshare_20260609_1113/ex289/aigs/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_global.aig,1,1,1097,21,23037,unknown duality-wrapped symmetry cofactor seed
