case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_cof_bhi1_mtbdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi1_mtbdd+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi1_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi1_mtbdd_abc_g_aig.aig,1,1,1,158,14,2212,848,2.608491,0,0,0.258,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_mtbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_mtbdd+synth_preset_d12,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi2_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d12.aig,1,1,0,,,,848,,,,0.323,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_mtbdd+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi3_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_abc_g_aig.aig,1,1,0,,,,848,,,,0.238,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_mtbdd+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi3_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_wreduce_abc_g_aig.aig,1,1,0,,,,848,,,,0.263,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_mtbdd+synth_preset,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi3_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset.aig,1,1,0,,,,848,,,,0.321,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_mtbdd+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi3_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d8.aig,1,1,0,,,,848,,,,0.335,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_mtbdd+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi3_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d10.aig,1,1,0,,,,848,,,,0.340,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_mtbdd+synth_preset_d12,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi3_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d12.aig,1,1,0,,,,848,,,,0.324,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi4_mtbdd+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi4_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_abc_g_aig.aig,1,1,0,,,,848,,,,0.278,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi4_mtbdd+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi4_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_wreduce_abc_g_aig.aig,1,1,0,,,,848,,,,0.299,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi4_mtbdd+synth_preset,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi4_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset.aig,1,1,0,,,,848,,,,0.344,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi4_mtbdd+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi4_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d8.aig,1,1,0,,,,848,,,,0.355,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi4_mtbdd+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi4_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d10.aig,1,1,0,,,,848,,,,0.364,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi4_mtbdd+synth_preset_d12,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/verilog/ex266_udiv_ex266_cof_bhi4_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d12.aig,1,1,0,,,,848,,,,0.347,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=synth_preset_d12
