case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix5_range_abc_g_aig,unsigned_floor_isqrt,prefix5_range+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_range_abc_g_aig.aig,1,1,1,44,8,352,204,1.725490,0,0,0.239,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=abc_g_aig
ex275,ex275_isqrt_prefix5_range_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix5_range+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_range_wreduce_abc_g_aig.aig,1,1,1,62,8,496,204,2.431373,0,0,0.237,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix5_range_arith_wreduce_aig,unsigned_floor_isqrt,prefix5_range+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_range_arith_wreduce_aig.aig,1,1,1,64,8,512,204,2.509804,0,0,0.256,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix5_range_synth_preset,unsigned_floor_isqrt,prefix5_range+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_range_synth_preset.aig,1,1,1,67,8,536,204,2.627451,0,0,0.292,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=synth_preset
ex275,ex275_isqrt_prefix5_range_synth_preset_d12,unsigned_floor_isqrt,prefix5_range+synth_preset_d12,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_range_synth_preset_d12.aig,1,1,1,67,8,536,204,2.627451,0,0,0.292,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=synth_preset_d12
ex275,ex275_isqrt_prefix5_range_synth_preset_d16,unsigned_floor_isqrt,prefix5_range+synth_preset_d16,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_range_synth_preset_d16.aig,1,1,1,67,8,536,204,2.627451,0,0,0.296,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=synth_preset_d16
ex275,ex275_isqrt_prefix6_range_abc_g_aig,unsigned_floor_isqrt,prefix6_range+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_range_abc_g_aig.aig,1,1,1,76,8,608,204,2.980392,0,0,0.265,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_range; flow=abc_g_aig
ex275,ex275_isqrt_prefix6_range_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix6_range+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_range_wreduce_abc_g_aig.aig,1,1,1,75,8,600,204,2.941176,0,0,0.270,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_range; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix6_range_arith_wreduce_aig,unsigned_floor_isqrt,prefix6_range+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_range_arith_wreduce_aig.aig,1,1,1,75,8,600,204,2.941176,0,0,0.272,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_range; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix6_range_synth_preset,unsigned_floor_isqrt,prefix6_range+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_range_synth_preset.aig,1,1,1,82,9,738,204,3.617647,0,0,0.316,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_range; flow=synth_preset
ex275,ex275_isqrt_prefix6_range_synth_preset_d12,unsigned_floor_isqrt,prefix6_range+synth_preset_d12,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_range_synth_preset_d12.aig,1,1,1,82,9,738,204,3.617647,0,0,0.312,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_range; flow=synth_preset_d12
ex275,ex275_isqrt_prefix6_range_synth_preset_d16,unsigned_floor_isqrt,prefix6_range+synth_preset_d16,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_range_synth_preset_d16.aig,1,1,1,82,9,738,204,3.617647,0,0,0.316,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_range; flow=synth_preset_d16
ex275,ex275_isqrt_prefix7_range_abc_g_aig,unsigned_floor_isqrt,prefix7_range+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix7_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix7_range_abc_g_aig.aig,1,1,1,81,9,729,204,3.573529,0,0,0.348,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix7_range; flow=abc_g_aig
ex275,ex275_isqrt_prefix7_range_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix7_range+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix7_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix7_range_wreduce_abc_g_aig.aig,1,1,1,79,9,711,204,3.485294,0,0,0.357,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix7_range; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix7_range_arith_wreduce_aig,unsigned_floor_isqrt,prefix7_range+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix7_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix7_range_arith_wreduce_aig.aig,1,1,1,80,8,640,204,3.137255,0,0,0.379,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix7_range; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix7_range_synth_preset,unsigned_floor_isqrt,prefix7_range+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix7_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix7_range_synth_preset.aig,1,1,1,82,9,738,204,3.617647,0,0,0.388,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix7_range; flow=synth_preset
ex275,ex275_isqrt_prefix7_range_synth_preset_d12,unsigned_floor_isqrt,prefix7_range+synth_preset_d12,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix7_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix7_range_synth_preset_d12.aig,1,1,1,82,9,738,204,3.617647,0,0,0.386,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix7_range; flow=synth_preset_d12
ex275,ex275_isqrt_prefix7_range_synth_preset_d16,unsigned_floor_isqrt,prefix7_range+synth_preset_d16,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_prefix7_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_prefix7_range_synth_preset_d16.aig,1,1,1,82,9,738,204,3.617647,0,0,0.382,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix7_range; flow=synth_preset_d16
ex275,ex275_isqrt_radix4_wires_abc_g_aig,unsigned_floor_isqrt,radix4_wires+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_radix4_wires.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_radix4_wires_abc_g_aig.aig,1,1,1,51,12,612,204,3.000000,0,0,0.264,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix4_wires; flow=abc_g_aig
ex275,ex275_isqrt_radix4_wires_wreduce_abc_g_aig,unsigned_floor_isqrt,radix4_wires+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_radix4_wires.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_radix4_wires_wreduce_abc_g_aig.aig,1,1,1,51,12,612,204,3.000000,0,0,0.303,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix4_wires; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_radix4_wires_arith_wreduce_aig,unsigned_floor_isqrt,radix4_wires+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_radix4_wires.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_radix4_wires_arith_wreduce_aig.aig,1,1,1,52,13,676,204,3.313725,0,0,0.301,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix4_wires; flow=arith_wreduce_aig
ex275,ex275_isqrt_radix4_wires_synth_preset,unsigned_floor_isqrt,radix4_wires+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_radix4_wires.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_radix4_wires_synth_preset.aig,1,1,1,51,13,663,204,3.250000,0,0,0.336,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix4_wires; flow=synth_preset
ex275,ex275_isqrt_radix4_wires_synth_preset_d12,unsigned_floor_isqrt,radix4_wires+synth_preset_d12,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_radix4_wires.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_radix4_wires_synth_preset_d12.aig,1,1,1,51,13,663,204,3.250000,0,0,0.343,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix4_wires; flow=synth_preset_d12
ex275,ex275_isqrt_radix4_wires_synth_preset_d16,unsigned_floor_isqrt,radix4_wires+synth_preset_d16,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_radix4_wires.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_radix4_wires_synth_preset_d16.aig,1,1,1,51,13,663,204,3.250000,0,0,0.336,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix4_wires; flow=synth_preset_d16
ex275,ex275_isqrt_radix8_wires_abc_g_aig,unsigned_floor_isqrt,radix8_wires+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_radix8_wires.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_radix8_wires_abc_g_aig.aig,1,1,1,49,11,539,204,2.642157,0,0,0.307,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix8_wires; flow=abc_g_aig
ex275,ex275_isqrt_radix8_wires_wreduce_abc_g_aig,unsigned_floor_isqrt,radix8_wires+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_radix8_wires.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_radix8_wires_wreduce_abc_g_aig.aig,1,1,1,51,11,561,204,2.750000,0,0,0.304,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix8_wires; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_radix8_wires_arith_wreduce_aig,unsigned_floor_isqrt,radix8_wires+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_radix8_wires.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_radix8_wires_arith_wreduce_aig.aig,1,1,1,51,11,561,204,2.750000,0,0,0.320,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix8_wires; flow=arith_wreduce_aig
ex275,ex275_isqrt_radix8_wires_synth_preset,unsigned_floor_isqrt,radix8_wires+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/verilog/ex275_isqrt_radix8_wires.v,student/work/ex275_ex279_frontend_isqrt_radix_prefix_20260609_1551/ex275/aigs/ex275_isqrt_radix8_wires_synth_preset.aig,1,1,1,48,11,528,204,2.588235,0,0,0.446,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix8_wires; flow=synth_preset
