case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,method_signature,verilog_path,aig_path,equivalent,simulation_pass,area,delay,adp,evaluate_log,notes
ex242,float_fp8,local-abc-r30,ex242_r30_rw_rf_dc2_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow rw_rf_dc2,preserves current frontend high-level structure; second-pass ABC rewrite,ex242|frontend_synthflow_iterative_from_r29_best|abc_iter_rw_rf_dc2|preserve_current_frontend_structure_second_pass|rw_rf_dc2|official_evaluate|full_word,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/aigs/ex242_r30_rw_rf_dc2_from_frontend_best.aig,1,not_run,1249,21,26229,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_rw_rf_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_rw_rf_dc2_from_frontend_best.abc.log; flow=strash; balance; rewrite; refactor; rewrite -z; refactor -z; balance; dc2; balance
ex242,float_fp8,local-abc-r30,ex242_r30_dc2_rwz_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow dc2_rwz,preserves current frontend high-level structure; second-pass ABC rewrite,ex242|frontend_synthflow_iterative_from_r29_best|abc_iter_dc2_rwz|preserve_current_frontend_structure_second_pass|dc2_rwz|official_evaluate|full_word,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/aigs/ex242_r30_dc2_rwz_from_frontend_best.aig,1,not_run,1243,22,27346,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_dc2_rwz_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_dc2_rwz_from_frontend_best.abc.log; flow=strash; dc2; rewrite -z; refactor -z; balance
ex242,float_fp8,local-abc-r30,ex242_r30_dch_dc2_rw_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow dch_dc2_rw,preserves current frontend high-level structure; second-pass ABC rewrite,ex242|frontend_synthflow_iterative_from_r29_best|abc_iter_dch_dc2_rw|preserve_current_frontend_structure_second_pass|dch_dc2_rw|official_evaluate|full_word,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/aigs/ex242_r30_dch_dc2_rw_from_frontend_best.aig,1,not_run,1243,22,27346,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_dch_dc2_rw_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_dch_dc2_rw_from_frontend_best.abc.log; flow=strash; dch; dc2; rewrite; balance
ex242,float_fp8,local-abc-r30,ex242_r30_drw_dc2_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow drw_dc2,preserves current frontend high-level structure; second-pass ABC rewrite,ex242|frontend_synthflow_iterative_from_r29_best|abc_iter_drw_dc2|preserve_current_frontend_structure_second_pass|drw_dc2|official_evaluate|full_word,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/aigs/ex242_r30_drw_dc2_from_frontend_best.aig,1,not_run,1246,22,27412,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_drw_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_drw_dc2_from_frontend_best.abc.log; flow=strash; drw; dc2; balance
ex242,float_fp8,local-abc-r30,ex242_r30_drwz_dc2_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow drwz_dc2,preserves current frontend high-level structure; second-pass ABC rewrite,ex242|frontend_synthflow_iterative_from_r29_best|abc_iter_drwz_dc2|preserve_current_frontend_structure_second_pass|drwz_dc2|official_evaluate|full_word,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/aigs/ex242_r30_drwz_dc2_from_frontend_best.aig,1,not_run,1245,20,24900,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_drwz_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_drwz_dc2_from_frontend_best.abc.log; flow=strash; drw -z; dc2; balance
ex242,float_fp8,local-abc-r30,ex242_r30_rewrite_loop3_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow rewrite_loop3,preserves current frontend high-level structure; second-pass ABC rewrite,ex242|frontend_synthflow_iterative_from_r29_best|abc_iter_rewrite_loop3|preserve_current_frontend_structure_second_pass|rewrite_loop3|official_evaluate|full_word,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/aigs/ex242_r30_rewrite_loop3_from_frontend_best.aig,1,not_run,1250,20,25000,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_rewrite_loop3_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_rewrite_loop3_from_frontend_best.abc.log; flow=strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance; rewrite; rewrite -z; balance
ex242,float_fp8,local-abc-r30,ex242_r30_dc2_dch_dc2_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow dc2_dch_dc2,preserves current frontend high-level structure; second-pass ABC rewrite,ex242|frontend_synthflow_iterative_from_r29_best|abc_iter_dc2_dch_dc2|preserve_current_frontend_structure_second_pass|dc2_dch_dc2|official_evaluate|full_word,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/aigs/ex242_r30_dc2_dch_dc2_from_frontend_best.aig,1,not_run,1241,21,26061,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_dc2_dch_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_dc2_dch_dc2_from_frontend_best.abc.log; flow=strash; dc2; dch; dc2; balance
ex242,float_fp8,local-abc-r30,ex242_r30_rfz_rwz_only_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow rfz_rwz_only,preserves current frontend high-level structure; second-pass ABC rewrite,ex242|frontend_synthflow_iterative_from_r29_best|abc_iter_rfz_rwz_only|preserve_current_frontend_structure_second_pass|rfz_rwz_only|official_evaluate|full_word,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/aigs/ex242_r30_rfz_rwz_only_from_frontend_best.aig,1,not_run,1249,20,24980,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_rfz_rwz_only_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_rfz_rwz_only_from_frontend_best.abc.log; flow=strash; refactor -z; rewrite -z; refactor -z; rewrite -z; balance
ex242,float_fp8,local-abc-r30,ex242_r30_rwz_dc2_drwz_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow rwz_dc2_drwz,preserves current frontend high-level structure; second-pass ABC rewrite,ex242|frontend_synthflow_iterative_from_r29_best|abc_iter_rwz_dc2_drwz|preserve_current_frontend_structure_second_pass|rwz_dc2_drwz|official_evaluate|full_word,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/aigs/ex242_r30_rwz_dc2_drwz_from_frontend_best.aig,1,not_run,1247,20,24940,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_rwz_dc2_drwz_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_rwz_dc2_drwz_from_frontend_best.abc.log; flow=strash; rewrite -z; dc2; drw -z; balance
ex242,float_fp8,local-abc-r30,ex242_r30_dc2_twice_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow dc2_twice,preserves current frontend high-level structure; second-pass ABC rewrite,ex242|frontend_synthflow_iterative_from_r29_best|abc_iter_dc2_twice|preserve_current_frontend_structure_second_pass|dc2_twice|official_evaluate|full_word,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/aigs/ex242_r30_dc2_twice_from_frontend_best.aig,1,not_run,1243,22,27346,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_dc2_twice_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_dc2_twice_from_frontend_best.abc.log; flow=strash; dc2; dc2; balance
ex244,float_fp8,local-abc-r30,ex244_r30_rw_rf_dc2_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow rw_rf_dc2,preserves current frontend high-level structure; second-pass ABC rewrite,ex244|frontend_synthflow_iterative_from_r29_best|abc_iter_rw_rf_dc2|preserve_current_frontend_structure_second_pass|rw_rf_dc2|official_evaluate|full_word,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/aigs/ex244_r30_rw_rf_dc2_from_frontend_best.aig,1,not_run,296,34,10064,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_rw_rf_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_rw_rf_dc2_from_frontend_best.abc.log; flow=strash; balance; rewrite; refactor; rewrite -z; refactor -z; balance; dc2; balance
ex244,float_fp8,local-abc-r30,ex244_r30_dc2_rwz_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow dc2_rwz,preserves current frontend high-level structure; second-pass ABC rewrite,ex244|frontend_synthflow_iterative_from_r29_best|abc_iter_dc2_rwz|preserve_current_frontend_structure_second_pass|dc2_rwz|official_evaluate|full_word,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/aigs/ex244_r30_dc2_rwz_from_frontend_best.aig,1,not_run,297,33,9801,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_dc2_rwz_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_dc2_rwz_from_frontend_best.abc.log; flow=strash; dc2; rewrite -z; refactor -z; balance
ex244,float_fp8,local-abc-r30,ex244_r30_dch_dc2_rw_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow dch_dc2_rw,preserves current frontend high-level structure; second-pass ABC rewrite,ex244|frontend_synthflow_iterative_from_r29_best|abc_iter_dch_dc2_rw|preserve_current_frontend_structure_second_pass|dch_dc2_rw|official_evaluate|full_word,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/aigs/ex244_r30_dch_dc2_rw_from_frontend_best.aig,1,not_run,295,32,9440,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_dch_dc2_rw_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_dch_dc2_rw_from_frontend_best.abc.log; flow=strash; dch; dc2; rewrite; balance
ex244,float_fp8,local-abc-r30,ex244_r30_drw_dc2_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow drw_dc2,preserves current frontend high-level structure; second-pass ABC rewrite,ex244|frontend_synthflow_iterative_from_r29_best|abc_iter_drw_dc2|preserve_current_frontend_structure_second_pass|drw_dc2|official_evaluate|full_word,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/aigs/ex244_r30_drw_dc2_from_frontend_best.aig,1,not_run,298,34,10132,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_drw_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_drw_dc2_from_frontend_best.abc.log; flow=strash; drw; dc2; balance
ex244,float_fp8,local-abc-r30,ex244_r30_drwz_dc2_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow drwz_dc2,preserves current frontend high-level structure; second-pass ABC rewrite,ex244|frontend_synthflow_iterative_from_r29_best|abc_iter_drwz_dc2|preserve_current_frontend_structure_second_pass|drwz_dc2|official_evaluate|full_word,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/aigs/ex244_r30_drwz_dc2_from_frontend_best.aig,1,not_run,298,33,9834,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_drwz_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_drwz_dc2_from_frontend_best.abc.log; flow=strash; drw -z; dc2; balance
ex244,float_fp8,local-abc-r30,ex244_r30_rewrite_loop3_from_frontend_best,frontend synth-flow iterative from current best,ABC iterative flow rewrite_loop3,preserves current frontend high-level structure; second-pass ABC rewrite,ex244|frontend_synthflow_iterative_from_r29_best|abc_iter_rewrite_loop3|preserve_current_frontend_structure_second_pass|rewrite_loop3|official_evaluate|full_word,student/work/ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/aigs/ex244_r30_rewrite_loop3_from_frontend_best.aig,1,not_run,298,32,9536,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_rewrite_loop3_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_rewrite_loop3_from_frontend_best.abc.log; flow=strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance; rewrite; rewrite -z; balance
