case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_wreduce_abc_g_aig,1,93,14,1302,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d9,1,91,14,1274,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d11,1,91,14,1274,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d13,1,91,14,1274,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d15,1,91,14,1274,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d18,1,91,14,1274,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig,1,88,14,1232,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d9,1,88,14,1232,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d11,1,88,14,1232,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d13,1,88,14,1232,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d15,1,88,14,1232,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_wreduce_abc_g_aig,1,88,14,1232,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d9,1,87,16,1392,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d11,1,87,16,1392,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d13,1,87,16,1392,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d15,1,87,16,1392,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d18,1,87,16,1392,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,1,88,13,1144,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d9,1,88,13,1144,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11,1,88,13,1144,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d13,1,88,13,1144,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d15,1,88,13,1144,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,1,88,13,1144,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d9,1,88,16,1408,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,1,88,16,1408,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,1,88,16,1408,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d15,1,88,16,1408,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d18,1,88,16,1408,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,92,13,1196,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9,1,92,13,1196,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11,1,92,13,1196,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13,1,92,13,1196,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d15,1,92,13,1196,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9,1,92,14,1288,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d11,1,92,14,1288,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,92,14,1288,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d15,1,92,14,1288,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,1,92,14,1288,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,1,164,20,3280,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d9,1,164,20,3280,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig_d9
ex261,ex261_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d11,1,164,20,3280,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d11.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig_d11
ex261,ex261_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d13,1,164,20,3280,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig_d13
ex261,ex261_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d15,1,164,20,3280,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d15.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig_d15
ex261,ex261_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,1,166,20,3320,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
