case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex267,ex267_udiv_cof_bhi3_a_hi2_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi2_wordmux+abc_g_aig,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/verilog/ex267_udiv_cof_bhi3_a_hi2_wordmux.v,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/aigs/ex267_udiv_cof_bhi3_a_hi2_wordmux_abc_g_aig.aig,1,1,1,345,12,4140,2651,1.561675,0,0,0.327,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi2_wordmux; flow=abc_g_aig
ex267,ex267_udiv_cof_bhi2_a_hi2_wordmux_synth_preset_d10,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi2_a_hi2_wordmux+synth_preset_d10,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/verilog/ex267_udiv_cof_bhi2_a_hi2_wordmux.v,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/aigs/ex267_udiv_cof_bhi2_a_hi2_wordmux_synth_preset_d10.aig,1,1,1,333,14,4662,2651,1.758582,0,0,0.442,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi2_a_hi2_wordmux; flow=synth_preset_d10
ex267,ex267_udiv_cof_bhi2_a_hi2_wordmux_synth_preset_d12,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi2_a_hi2_wordmux+synth_preset_d12,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/verilog/ex267_udiv_cof_bhi2_a_hi2_wordmux.v,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/aigs/ex267_udiv_cof_bhi2_a_hi2_wordmux_synth_preset_d12.aig,1,1,1,333,14,4662,2651,1.758582,0,0,0.431,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi2_a_hi2_wordmux; flow=synth_preset_d12
ex267,ex267_udiv_cof_bhi2_a_hi2_wordmux_synth_preset_d16,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi2_a_hi2_wordmux+synth_preset_d16,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/verilog/ex267_udiv_cof_bhi2_a_hi2_wordmux.v,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/aigs/ex267_udiv_cof_bhi2_a_hi2_wordmux_synth_preset_d16.aig,1,1,1,333,14,4662,2651,1.758582,0,0,0.456,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi2_a_hi2_wordmux; flow=synth_preset_d16
ex267,ex267_udiv_cof_bhi3_a_hi1_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi1_wordmux+abc_g_aig,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/verilog/ex267_udiv_cof_bhi3_a_hi1_wordmux.v,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/aigs/ex267_udiv_cof_bhi3_a_hi1_wordmux_abc_g_aig.aig,1,1,1,347,14,4858,2651,1.832516,0,0,0.317,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi1_wordmux; flow=abc_g_aig
ex267,ex267_udiv_cof_bhi3_a_hi1_wordmux_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi1_wordmux+wreduce_abc_g_aig,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/verilog/ex267_udiv_cof_bhi3_a_hi1_wordmux.v,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/aigs/ex267_udiv_cof_bhi3_a_hi1_wordmux_wreduce_abc_g_aig.aig,1,1,1,347,14,4858,2651,1.832516,0,0,0.326,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi1_wordmux; flow=wreduce_abc_g_aig
ex267,ex267_udiv_cof_bhi3_a_hi1_wordmux_synth_preset,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi1_wordmux+synth_preset,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/verilog/ex267_udiv_cof_bhi3_a_hi1_wordmux.v,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/aigs/ex267_udiv_cof_bhi3_a_hi1_wordmux_synth_preset.aig,1,1,1,326,14,4564,2651,1.721614,0,0,0.415,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi1_wordmux; flow=synth_preset
ex267,ex267_udiv_cof_bhi3_a_hi1_wordmux_synth_preset_d8,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi1_wordmux+synth_preset_d8,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/verilog/ex267_udiv_cof_bhi3_a_hi1_wordmux.v,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/aigs/ex267_udiv_cof_bhi3_a_hi1_wordmux_synth_preset_d8.aig,1,1,1,326,14,4564,2651,1.721614,0,0,0.417,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi1_wordmux; flow=synth_preset_d8
ex267,ex267_udiv_cof_bhi3_a_hi1_wordmux_synth_preset_d10,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi1_wordmux+synth_preset_d10,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/verilog/ex267_udiv_cof_bhi3_a_hi1_wordmux.v,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/aigs/ex267_udiv_cof_bhi3_a_hi1_wordmux_synth_preset_d10.aig,1,1,1,326,14,4564,2651,1.721614,0,0,0.421,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi1_wordmux; flow=synth_preset_d10
ex267,ex267_udiv_cof_bhi3_a_hi1_wordmux_synth_preset_d12,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi1_wordmux+synth_preset_d12,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/verilog/ex267_udiv_cof_bhi3_a_hi1_wordmux.v,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/aigs/ex267_udiv_cof_bhi3_a_hi1_wordmux_synth_preset_d12.aig,1,1,1,326,14,4564,2651,1.721614,0,0,0.417,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi1_wordmux; flow=synth_preset_d12
ex267,ex267_udiv_cof_bhi3_a_hi1_wordmux_synth_preset_d16,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi1_wordmux+synth_preset_d16,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/verilog/ex267_udiv_cof_bhi3_a_hi1_wordmux.v,student/work/ex267_frontend_udiv_highgap_flow_replay_20260609_1745/ex267/aigs/ex267_udiv_cof_bhi3_a_hi1_wordmux_synth_preset_d16.aig,1,1,1,326,14,4564,2651,1.721614,0,0,0.418,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi1_wordmux; flow=synth_preset_d16
