case,candidate_id,parent_id,source,tool_chain,aig_path,area,delay,adp,equivalent,runtime_sec,notes
ex200,ex200_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex200.aig,18311,36,659196,1,0.635,from baseline directory
ex200,ex200_abc_resyn,ex200_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_resyn/ex200_abc_resyn.aig,12597,23,289731,1,1.006,abc portfolio flow
ex200,ex200_abc_resyn2,ex200_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_resyn2/ex200_abc_resyn2.aig,12282,22,270204,1,1.166,abc portfolio flow
ex200,ex200_abc_resyn2a,ex200_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_resyn2a/ex200_abc_resyn2a.aig,12584,23,289432,1,1.061,abc portfolio flow
ex200,ex200_abc_resyn3,ex200_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_resyn3/ex200_abc_resyn3.aig,13357,25,333925,1,1.067,abc portfolio flow
ex200,ex200_abc_compress2,ex200_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_compress2/ex200_abc_compress2.aig,12214,23,280922,1,1.138,abc portfolio flow
ex200,ex200_abc_resyn2rs,ex200_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_resyn2rs/ex200_abc_resyn2rs.aig,11746,23,270158,1,4.085,abc portfolio flow
ex200,ex200_abc_compress2rs,ex200_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_compress2rs/ex200_abc_compress2rs.aig,11711,24,281064,1,3.728,abc portfolio flow
ex200,ex200_abc_dc2,ex200_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_dc2/ex200_abc_dc2.aig,11890,20,237800,1,1.143,abc portfolio flow
ex200,ex200_abc_dch,ex200_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_dch/ex200_abc_dch.aig,11663,19,221597,1,3.570,abc portfolio flow
ex200,ex200_abc_dc2_dch,ex200_baseline,abc,abc_dc2_dch,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_dc2_dch/ex200_abc_dc2_dch.aig,11391,19,216429,1,3.570,abc portfolio flow
ex200,ex200_abc_dch_dc2,ex200_baseline,abc,abc_dch_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_dch_dc2/ex200_abc_dch_dc2.aig,11412,19,216828,1,3.967,abc portfolio flow
ex200,ex200_abc_dc2_rw,ex200_baseline,abc,abc_dc2_rw,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_dc2_rw/ex200_abc_dc2_rw.aig,11645,20,232900,1,1.308,abc portfolio flow
ex200,ex200_abc_dch_rw,ex200_baseline,abc,abc_dch_rw,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_dch_rw/ex200_abc_dch_rw.aig,11491,19,218329,1,3.733,abc portfolio flow
ex200,ex200_abc_src_rw,ex200_baseline,abc,abc_src_rw,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_src_rw/ex200_abc_src_rw.aig,12550,35,439250,1,1.010,abc portfolio flow
ex200,ex200_abc_src_rws,ex200_baseline,abc,abc_src_rws,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_src_rws/ex200_abc_src_rws.aig,12103,34,411502,1,2.758,abc portfolio flow
ex200,ex200_abc_delay_try,ex200_baseline,abc,abc_delay_try,student/work/pipeline/abc_all_full_20260602_1524/ex200/abc_delay_try/ex200_abc_delay_try.aig,11704,20,234080,1,1.452,abc portfolio flow
ex201,ex201_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex201.aig,8345,33,275385,1,0.463,from baseline directory
ex201,ex201_abc_resyn,ex201_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_resyn/ex201_abc_resyn.aig,5744,23,132112,1,0.659,abc portfolio flow
ex201,ex201_abc_resyn2,ex201_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_resyn2/ex201_abc_resyn2.aig,5492,21,115332,1,0.736,abc portfolio flow
ex201,ex201_abc_resyn2a,ex201_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_resyn2a/ex201_abc_resyn2a.aig,5740,23,132020,1,0.680,abc portfolio flow
ex201,ex201_abc_resyn3,ex201_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_resyn3/ex201_abc_resyn3.aig,6304,24,151296,1,0.644,abc portfolio flow
ex201,ex201_abc_compress2,ex201_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_compress2/ex201_abc_compress2.aig,5463,23,125649,1,0.713,abc portfolio flow
ex201,ex201_abc_resyn2rs,ex201_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_resyn2rs/ex201_abc_resyn2rs.aig,5292,21,111132,1,1.556,abc portfolio flow
ex201,ex201_abc_compress2rs,ex201_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_compress2rs/ex201_abc_compress2rs.aig,5304,25,132600,1,1.499,abc portfolio flow
ex201,ex201_abc_dc2,ex201_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_dc2/ex201_abc_dc2.aig,5331,19,101289,1,0.692,abc portfolio flow
ex201,ex201_abc_dch,ex201_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_dch/ex201_abc_dch.aig,5210,18,93780,1,1.555,abc portfolio flow
ex201,ex201_abc_dc2_dch,ex201_baseline,abc,abc_dc2_dch,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_dc2_dch/ex201_abc_dc2_dch.aig,5044,17,85748,1,1.446,abc portfolio flow
ex201,ex201_abc_dch_dc2,ex201_baseline,abc,abc_dch_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_dch_dc2/ex201_abc_dch_dc2.aig,5067,19,96273,1,1.706,abc portfolio flow
ex201,ex201_abc_dc2_rw,ex201_baseline,abc,abc_dc2_rw,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_dc2_rw/ex201_abc_dc2_rw.aig,5204,19,98876,1,0.783,abc portfolio flow
ex201,ex201_abc_dch_rw,ex201_baseline,abc,abc_dch_rw,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_dch_rw/ex201_abc_dch_rw.aig,5113,18,92034,1,1.634,abc portfolio flow
ex201,ex201_abc_src_rw,ex201_baseline,abc,abc_src_rw,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_src_rw/ex201_abc_src_rw.aig,5784,27,156168,1,0.647,abc portfolio flow
ex201,ex201_abc_src_rws,ex201_baseline,abc,abc_src_rws,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_src_rws/ex201_abc_src_rws.aig,5557,28,155596,1,1.211,abc portfolio flow
ex201,ex201_abc_delay_try,ex201_baseline,abc,abc_delay_try,student/work/pipeline/abc_all_full_20260602_1524/ex201/abc_delay_try/ex201_abc_delay_try.aig,5227,19,99313,1,0.845,abc portfolio flow
ex202,ex202_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex202.aig,17826,36,641736,1,0.655,from baseline directory
ex202,ex202_abc_resyn,ex202_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_resyn/ex202_abc_resyn.aig,12518,22,275396,1,1.029,abc portfolio flow
ex202,ex202_abc_resyn2,ex202_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_resyn2/ex202_abc_resyn2.aig,12227,22,268994,1,1.160,abc portfolio flow
ex202,ex202_abc_resyn2a,ex202_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_resyn2a/ex202_abc_resyn2a.aig,12499,22,274978,1,1.077,abc portfolio flow
ex202,ex202_abc_resyn3,ex202_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_resyn3/ex202_abc_resyn3.aig,13198,24,316752,1,1.113,abc portfolio flow
ex202,ex202_abc_compress2,ex202_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_compress2/ex202_abc_compress2.aig,12159,22,267498,1,1.150,abc portfolio flow
ex202,ex202_abc_resyn2rs,ex202_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_resyn2rs/ex202_abc_resyn2rs.aig,11644,23,267812,1,3.638,abc portfolio flow
ex202,ex202_abc_compress2rs,ex202_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_compress2rs/ex202_abc_compress2rs.aig,11627,23,267421,1,3.415,abc portfolio flow
ex202,ex202_abc_dc2,ex202_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_dc2/ex202_abc_dc2.aig,11700,19,222300,1,1.137,abc portfolio flow
ex202,ex202_abc_dch,ex202_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_dch/ex202_abc_dch.aig,11462,19,217778,1,3.614,abc portfolio flow
ex202,ex202_abc_dc2_dch,ex202_baseline,abc,abc_dc2_dch,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_dc2_dch/ex202_abc_dc2_dch.aig,11221,19,213199,1,3.379,abc portfolio flow
ex202,ex202_abc_dch_dc2,ex202_baseline,abc,abc_dch_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_dch_dc2/ex202_abc_dch_dc2.aig,11208,19,212952,1,3.943,abc portfolio flow
ex202,ex202_abc_dc2_rw,ex202_baseline,abc,abc_dc2_rw,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_dc2_rw/ex202_abc_dc2_rw.aig,11466,19,217854,1,1.263,abc portfolio flow
ex202,ex202_abc_dch_rw,ex202_baseline,abc,abc_dch_rw,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_dch_rw/ex202_abc_dch_rw.aig,11307,19,214833,1,3.685,abc portfolio flow
ex202,ex202_abc_src_rw,ex202_baseline,abc,abc_src_rw,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_src_rw/ex202_abc_src_rw.aig,12414,33,409662,1,1.172,abc portfolio flow
ex202,ex202_abc_src_rws,ex202_baseline,abc,abc_src_rws,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_src_rws/ex202_abc_src_rws.aig,11921,33,393393,1,2.776,abc portfolio flow
ex202,ex202_abc_delay_try,ex202_baseline,abc,abc_delay_try,student/work/pipeline/abc_all_full_20260602_1524/ex202/abc_delay_try/ex202_abc_delay_try.aig,11525,19,218975,1,1.419,abc portfolio flow
ex203,ex203_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex203.aig,27907,45,1255815,1,0.939,from baseline directory
ex203,ex203_abc_resyn,ex203_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_resyn/ex203_abc_resyn.aig,22046,26,573196,1,1.513,abc portfolio flow
ex203,ex203_abc_resyn2,ex203_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_resyn2/ex203_abc_resyn2.aig,21839,26,567814,1,1.789,abc portfolio flow
ex203,ex203_abc_resyn2a,ex203_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_resyn2a/ex203_abc_resyn2a.aig,22096,26,574496,1,1.598,abc portfolio flow
ex203,ex203_abc_resyn3,ex203_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_resyn3/ex203_abc_resyn3.aig,23139,30,694170,1,1.533,abc portfolio flow
ex203,ex203_abc_compress2,ex203_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_compress2/ex203_abc_compress2.aig,21816,27,589032,1,1.766,abc portfolio flow
ex203,ex203_abc_resyn2rs,ex203_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_resyn2rs/ex203_abc_resyn2rs.aig,21319,26,554294,1,3.541,abc portfolio flow
ex203,ex203_abc_compress2rs,ex203_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_compress2rs/ex203_abc_compress2rs.aig,21303,27,575181,1,3.501,abc portfolio flow
ex203,ex203_abc_dc2,ex203_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_dc2/ex203_abc_dc2.aig,21007,23,483161,1,1.780,abc portfolio flow
ex203,ex203_abc_dch,ex203_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_dch/ex203_abc_dch.aig,20694,22,455268,1,4.494,abc portfolio flow
ex203,ex203_abc_dc2_dch,ex203_baseline,abc,abc_dc2_dch,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_dc2_dch/ex203_abc_dc2_dch.aig,20357,22,447854,1,4.655,abc portfolio flow
ex203,ex203_abc_dch_dc2,ex203_baseline,abc,abc_dch_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_dch_dc2/ex203_abc_dch_dc2.aig,20459,22,450098,1,5.121,abc portfolio flow
ex203,ex203_abc_dc2_rw,ex203_baseline,abc,abc_dc2_rw,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_dc2_rw/ex203_abc_dc2_rw.aig,20655,23,475065,1,2.043,abc portfolio flow
ex203,ex203_abc_dch_rw,ex203_baseline,abc,abc_dch_rw,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_dch_rw/ex203_abc_dch_rw.aig,20521,22,451462,1,4.788,abc portfolio flow
ex203,ex203_abc_src_rw,ex203_baseline,abc,abc_src_rw,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_src_rw/ex203_abc_src_rw.aig,22043,43,947849,1,1.478,abc portfolio flow
ex203,ex203_abc_src_rws,ex203_baseline,abc,abc_src_rws,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_src_rws/ex203_abc_src_rws.aig,21619,43,929617,1,2.488,abc portfolio flow
ex203,ex203_abc_delay_try,ex203_baseline,abc,abc_delay_try,student/work/pipeline/abc_all_full_20260602_1524/ex203/abc_delay_try/ex203_abc_delay_try.aig,20723,23,476629,1,2.267,abc portfolio flow
ex204,ex204_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex204.aig,16792,38,638096,1,0.968,from baseline directory
ex204,ex204_abc_resyn,ex204_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_resyn/ex204_abc_resyn.aig,12412,26,322712,1,1.352,abc portfolio flow
ex204,ex204_abc_resyn2,ex204_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_resyn2/ex204_abc_resyn2.aig,12028,26,312728,1,1.486,abc portfolio flow
ex204,ex204_abc_resyn2a,ex204_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_resyn2a/ex204_abc_resyn2a.aig,12378,26,321828,1,1.387,abc portfolio flow
ex204,ex204_abc_resyn3,ex204_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_resyn3/ex204_abc_resyn3.aig,13403,29,388687,1,1.309,abc portfolio flow
ex204,ex204_abc_compress2,ex204_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_compress2/ex204_abc_compress2.aig,12030,26,312780,1,1.457,abc portfolio flow
ex204,ex204_abc_resyn2rs,ex204_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_resyn2rs/ex204_abc_resyn2rs.aig,11812,26,307112,1,2.440,abc portfolio flow
ex204,ex204_abc_compress2rs,ex204_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_compress2rs/ex204_abc_compress2rs.aig,11793,26,306618,1,2.379,abc portfolio flow
ex204,ex204_abc_dc2,ex204_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_dc2/ex204_abc_dc2.aig,11660,21,244860,1,1.457,abc portfolio flow
ex204,ex204_abc_dch,ex204_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_dch/ex204_abc_dch.aig,11384,21,239064,1,3.429,abc portfolio flow
ex204,ex204_abc_dc2_dch,ex204_baseline,abc,abc_dc2_dch,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_dc2_dch/ex204_abc_dc2_dch.aig,11211,21,235431,1,3.238,abc portfolio flow
ex204,ex204_abc_dch_dc2,ex204_baseline,abc,abc_dch_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_dch_dc2/ex204_abc_dch_dc2.aig,11188,21,234948,1,3.727,abc portfolio flow
ex204,ex204_abc_dc2_rw,ex204_baseline,abc,abc_dc2_rw,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_dc2_rw/ex204_abc_dc2_rw.aig,11451,21,240471,1,1.614,abc portfolio flow
ex204,ex204_abc_dch_rw,ex204_baseline,abc,abc_dch_rw,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_dch_rw/ex204_abc_dch_rw.aig,11253,21,236313,1,3.552,abc portfolio flow
ex204,ex204_abc_src_rw,ex204_baseline,abc,abc_src_rw,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_src_rw/ex204_abc_src_rw.aig,12357,36,444852,1,1.311,abc portfolio flow
ex204,ex204_abc_src_rws,ex204_baseline,abc,abc_src_rws,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_src_rws/ex204_abc_src_rws.aig,12147,36,437292,1,1.840,abc portfolio flow
ex204,ex204_abc_delay_try,ex204_baseline,abc,abc_delay_try,student/work/pipeline/abc_all_full_20260602_1524/ex204/abc_delay_try/ex204_abc_delay_try.aig,11498,21,241458,1,1.717,abc portfolio flow
ex205,ex205_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex205.aig,28647,40,1145880,1,0.939,from baseline directory
ex205,ex205_abc_resyn,ex205_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_resyn/ex205_abc_resyn.aig,22786,26,592436,1,1.526,abc portfolio flow
ex205,ex205_abc_resyn2,ex205_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_resyn2/ex205_abc_resyn2.aig,22570,25,564250,1,1.834,abc portfolio flow
ex205,ex205_abc_resyn2a,ex205_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_resyn2a/ex205_abc_resyn2a.aig,22831,26,593606,1,1.624,abc portfolio flow
ex205,ex205_abc_resyn3,ex205_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_resyn3/ex205_abc_resyn3.aig,23822,30,714660,1,1.578,abc portfolio flow
ex205,ex205_abc_compress2,ex205_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_compress2/ex205_abc_compress2.aig,22556,26,586456,1,1.765,abc portfolio flow
ex205,ex205_abc_resyn2rs,ex205_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_resyn2rs/ex205_abc_resyn2rs.aig,21876,25,546900,1,3.719,abc portfolio flow
ex205,ex205_abc_compress2rs,ex205_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_compress2rs/ex205_abc_compress2rs.aig,21861,26,568386,1,3.655,abc portfolio flow
ex205,ex205_abc_dc2,ex205_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_dc2/ex205_abc_dc2.aig,21785,23,501055,1,1.813,abc portfolio flow
ex205,ex205_abc_dch,ex205_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_dch/ex205_abc_dch.aig,21417,22,471174,1,4.753,abc portfolio flow
ex205,ex205_abc_dc2_dch,ex205_baseline,abc,abc_dc2_dch,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_dc2_dch/ex205_abc_dc2_dch.aig,21164,22,465608,1,4.669,abc portfolio flow
ex205,ex205_abc_dch_dc2,ex205_baseline,abc,abc_dch_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_dch_dc2/ex205_abc_dch_dc2.aig,21166,22,465652,1,5.428,abc portfolio flow
ex205,ex205_abc_dc2_rw,ex205_baseline,abc,abc_dc2_rw,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_dc2_rw/ex205_abc_dc2_rw.aig,21412,23,492476,1,2.101,abc portfolio flow
ex205,ex205_abc_dch_rw,ex205_baseline,abc,abc_dch_rw,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_dch_rw/ex205_abc_dch_rw.aig,21239,22,467258,1,5.126,abc portfolio flow
ex205,ex205_abc_src_rw,ex205_baseline,abc,abc_src_rw,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_src_rw/ex205_abc_src_rw.aig,22798,40,911920,1,1.497,abc portfolio flow
ex205,ex205_abc_src_rws,ex205_baseline,abc,abc_src_rws,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_src_rws/ex205_abc_src_rws.aig,22359,40,894360,1,2.572,abc portfolio flow
ex205,ex205_abc_delay_try,ex205_baseline,abc,abc_delay_try,student/work/pipeline/abc_all_full_20260602_1524/ex205/abc_delay_try/ex205_abc_delay_try.aig,21510,23,494730,1,2.312,abc portfolio flow
ex206,ex206_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex206.aig,115161,55,6333855,1,1.779,from baseline directory
ex206,ex206_abc_resyn,ex206_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_resyn/ex206_abc_resyn.aig,92855,28,2599940,1,4.387,abc portfolio flow
ex206,ex206_abc_resyn2,ex206_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_resyn2/ex206_abc_resyn2.aig,92364,28,2586192,1,5.711,abc portfolio flow
ex206,ex206_abc_resyn2a,ex206_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_resyn2a/ex206_abc_resyn2a.aig,93226,28,2610328,1,4.850,abc portfolio flow
ex206,ex206_abc_resyn3,ex206_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_resyn3/ex206_abc_resyn3.aig,96778,31,3000118,1,3.797,abc portfolio flow
ex206,ex206_abc_compress2,ex206_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_compress2/ex206_abc_compress2.aig,92329,28,2585212,1,5.340,abc portfolio flow
ex206,ex206_abc_resyn2rs,ex206_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_resyn2rs/ex206_abc_resyn2rs.aig,89574,28,2508072,1,18.187,abc portfolio flow
ex206,ex206_abc_compress2rs,ex206_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_compress2rs/ex206_abc_compress2rs.aig,89534,28,2506952,1,17.904,abc portfolio flow
ex206,ex206_abc_dc2,ex206_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_dc2/ex206_abc_dc2.aig,86070,25,2151750,1,5.151,abc portfolio flow
ex206,ex206_abc_dch,ex206_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_dch/ex206_abc_dch.aig,84474,24,2027376,1,18.906,abc portfolio flow
ex206,ex206_abc_dc2_dch,ex206_baseline,abc,abc_dc2_dch,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_dc2_dch/ex206_abc_dc2_dch.aig,83463,23,1919649,1,19.325,abc portfolio flow
ex206,ex206_abc_dch_dc2,ex206_baseline,abc,abc_dch_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_dch_dc2/ex206_abc_dch_dc2.aig,83581,24,2005944,1,21.523,abc portfolio flow
ex206,ex206_abc_dc2_rw,ex206_baseline,abc,abc_dc2_rw,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_dc2_rw/ex206_abc_dc2_rw.aig,84875,25,2121875,1,6.477,abc portfolio flow
ex206,ex206_abc_dch_rw,ex206_baseline,abc,abc_dch_rw,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_dch_rw/ex206_abc_dch_rw.aig,83978,24,2015472,1,20.066,abc portfolio flow
ex206,ex206_abc_src_rw,ex206_baseline,abc,abc_src_rw,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_src_rw/ex206_abc_src_rw.aig,92547,54,4997538,1,4.189,abc portfolio flow
ex206,ex206_abc_src_rws,ex206_baseline,abc,abc_src_rws,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_src_rws/ex206_abc_src_rws.aig,90036,54,4861944,1,10.378,abc portfolio flow
ex206,ex206_abc_delay_try,ex206_baseline,abc,abc_delay_try,student/work/pipeline/abc_all_full_20260602_1524/ex206/abc_delay_try/ex206_abc_delay_try.aig,85218,25,2130450,1,7.263,abc portfolio flow
ex207,ex207_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex207.aig,162389,59,9580951,1,1.902,from baseline directory
ex207,ex207_abc_resyn,ex207_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex207/abc_resyn/ex207_abc_resyn.aig,131377,28,3678556,1,6.349,abc portfolio flow
ex207,ex207_abc_resyn2,ex207_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex207/abc_resyn2/ex207_abc_resyn2.aig,130631,28,3657668,1,8.554,abc portfolio flow
ex207,ex207_abc_resyn2a,ex207_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex207/abc_resyn2a/ex207_abc_resyn2a.aig,131830,28,3691240,1,7.178,abc portfolio flow
ex207,ex207_abc_resyn3,ex207_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex207/abc_resyn3/ex207_abc_resyn3.aig,136924,30,4107720,1,4.835,abc portfolio flow
ex207,ex207_abc_compress2,ex207_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex207/abc_compress2/ex207_abc_compress2.aig,130573,29,3786617,1,7.667,abc portfolio flow
ex207,ex207_abc_resyn2rs,ex207_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex207/abc_resyn2rs/ex207_abc_resyn2rs.aig,128563,28,3599764,1,21.350,abc portfolio flow
ex207,ex207_abc_compress2rs,ex207_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex207/abc_compress2rs/ex207_abc_compress2rs.aig,128556,28,3599568,1,20.023,abc portfolio flow
ex207,ex207_abc_dc2,ex207_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex207/abc_dc2/ex207_abc_dc2.aig,121159,25,3028975,1,7.059,abc portfolio flow
ex207,ex207_abc_dch,ex207_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex207/abc_dch/ex207_abc_dch.aig,118933,24,2854392,1,28.657,abc portfolio flow
