case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_signfirst_hcla4_synth_preset_d13,1,354,26,9204,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signfirst_hcla4_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signfirst_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_signlast_hcla4_abc_g_aig,1,357,27,9639,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signlast_hcla4_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signlast_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_signlast_hcla4_wreduce_abc_g_aig,1,357,27,9639,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signlast_hcla4_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signlast_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_signlast_hcla4_synth_preset_d11,1,358,26,9308,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signlast_hcla4_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signlast_hcla4; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_signlast_hcla4_synth_preset_d13,1,358,26,9308,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signlast_hcla4_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signlast_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_corrzip_hcla4_abc_g_aig,1,361,25,9025,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrzip_hcla4_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrzip_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrzip_hcla4_wreduce_abc_g_aig,1,361,25,9025,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrzip_hcla4_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrzip_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrzip_hcla4_synth_preset_d11,1,363,25,9075,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrzip_hcla4_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrzip_hcla4; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_corrzip_hcla4_synth_preset_d13,1,363,25,9075,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrzip_hcla4_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrzip_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_corrfirst_hcla1_abc_g_aig,1,355,27,9585,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrfirst_hcla1_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrfirst_hcla1; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrfirst_hcla1_wreduce_abc_g_aig,1,367,25,9175,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrfirst_hcla1_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrfirst_hcla1; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrfirst_hcla1_synth_preset_d11,1,356,28,9968,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrfirst_hcla1_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrfirst_hcla1; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_corrfirst_hcla1_synth_preset_d13,1,356,28,9968,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrfirst_hcla1_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrfirst_hcla1; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_corrlast_hcla1_abc_g_aig,1,363,25,9075,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrlast_hcla1_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrlast_hcla1; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrlast_hcla1_wreduce_abc_g_aig,1,358,25,8950,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrlast_hcla1_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrlast_hcla1; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrlast_hcla1_synth_preset_d11,1,357,26,9282,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrlast_hcla1_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrlast_hcla1; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_corrlast_hcla1_synth_preset_d13,1,357,26,9282,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrlast_hcla1_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrlast_hcla1; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_signfirst_hcla1_abc_g_aig,1,354,28,9912,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signfirst_hcla1_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signfirst_hcla1; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_signfirst_hcla1_wreduce_abc_g_aig,1,354,28,9912,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signfirst_hcla1_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signfirst_hcla1; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_signfirst_hcla1_synth_preset_d11,1,356,26,9256,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signfirst_hcla1_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signfirst_hcla1; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_signfirst_hcla1_synth_preset_d13,1,356,26,9256,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signfirst_hcla1_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signfirst_hcla1; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_signlast_hcla1_abc_g_aig,1,365,25,9125,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signlast_hcla1_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signlast_hcla1; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_signlast_hcla1_wreduce_abc_g_aig,1,361,26,9386,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signlast_hcla1_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signlast_hcla1; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_signlast_hcla1_synth_preset_d11,1,361,26,9386,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signlast_hcla1_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signlast_hcla1; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_signlast_hcla1_synth_preset_d13,1,361,26,9386,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signlast_hcla1_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signlast_hcla1; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_corrzip_hcla1_abc_g_aig,1,364,25,9100,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrzip_hcla1_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrzip_hcla1; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrzip_hcla1_wreduce_abc_g_aig,1,367,25,9175,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrzip_hcla1_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrzip_hcla1; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrzip_hcla1_synth_preset_d11,1,362,25,9050,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrzip_hcla1_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrzip_hcla1; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_corrzip_hcla1_synth_preset_d13,1,362,25,9050,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrzip_hcla1_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrzip_hcla1; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_corrfirst_rhcla2_abc_g_aig,1,365,24,8760,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrfirst_rhcla2_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrfirst_rhcla2; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrfirst_rhcla2_wreduce_abc_g_aig,1,366,26,9516,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrfirst_rhcla2_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrfirst_rhcla2; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrfirst_rhcla2_synth_preset_d11,1,358,25,8950,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrfirst_rhcla2_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrfirst_rhcla2; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_corrfirst_rhcla2_synth_preset_d13,1,358,25,8950,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrfirst_rhcla2_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrfirst_rhcla2; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_corrlast_rhcla2_abc_g_aig,1,362,26,9412,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrlast_rhcla2_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrlast_rhcla2; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrlast_rhcla2_wreduce_abc_g_aig,1,362,26,9412,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrlast_rhcla2_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrlast_rhcla2; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrlast_rhcla2_synth_preset_d11,1,359,26,9334,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrlast_rhcla2_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrlast_rhcla2; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_corrlast_rhcla2_synth_preset_d13,1,359,26,9334,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrlast_rhcla2_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrlast_rhcla2; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_signfirst_rhcla2_abc_g_aig,1,354,27,9558,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signfirst_rhcla2_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signfirst_rhcla2; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_signfirst_rhcla2_wreduce_abc_g_aig,1,354,27,9558,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signfirst_rhcla2_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signfirst_rhcla2; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_signfirst_rhcla2_synth_preset_d11,1,355,26,9230,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signfirst_rhcla2_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signfirst_rhcla2; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_signfirst_rhcla2_synth_preset_d13,1,355,26,9230,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signfirst_rhcla2_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signfirst_rhcla2; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_signlast_rhcla2_abc_g_aig,1,362,26,9412,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signlast_rhcla2_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signlast_rhcla2; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_signlast_rhcla2_wreduce_abc_g_aig,1,363,26,9438,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signlast_rhcla2_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signlast_rhcla2; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_signlast_rhcla2_synth_preset_d11,1,361,26,9386,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signlast_rhcla2_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signlast_rhcla2; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_signlast_rhcla2_synth_preset_d13,1,361,26,9386,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_signlast_rhcla2_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_signlast_rhcla2; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_corrzip_rhcla2_abc_g_aig,1,365,24,8760,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrzip_rhcla2_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrzip_rhcla2; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrzip_rhcla2_wreduce_abc_g_aig,1,364,25,9100,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrzip_rhcla2_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrzip_rhcla2; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_corrzip_rhcla2_synth_preset_d11,1,362,25,9050,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrzip_rhcla2_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrzip_rhcla2; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_corrzip_rhcla2_synth_preset_d13,1,362,25,9050,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex263/aigs/ex263_smul_baugh_wooley_wallace_corrzip_rhcla2_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_corrzip_rhcla2; flow=synth_preset_d13
