case,variant,notes
ex223,log_nested_low10_hi4,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20"
ex223,log_nested_low10_hi5,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20"
ex223,log_nested_low10_hi6,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=6; nested_lo=4; low_items=30660; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20"
ex223,log_nested_low9_hi4,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20; b9:runs=82,max=19,const=16"
ex224,log_nested_low10_hi4,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22"
ex224,log_nested_low10_hi5,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22"
ex224,log_nested_low10_hi6,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=6; nested_lo=4; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22"
ex224,log_nested_low9_hi4,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; b10:runs=57,max=12,const=22; b9:runs=77,max=19,const=15"
ex225,log_nested_low10_hi4,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; b11:runs=45,max=7,const=24; b10:runs=60,max=12,const=20"
ex225,log_nested_low10_hi5,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; b11:runs=45,max=7,const=24; b10:runs=60,max=12,const=20"
ex225,log_nested_low10_hi6,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=6; nested_lo=4; low_items=30645; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; b11:runs=45,max=7,const=24; b10:runs=60,max=12,const=20"
ex225,log_nested_low9_hi4,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=9; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; b11:runs=45,max=7,const=24; b10:runs=60,max=12,const=20; b9:runs=83,max=20,const=14"
