case,target,family,feature_count,prime,exact,rank,pivots,matches,total_rows,first_mismatch,notes
ex286,pair_count_0,counts,9,101,0,9,9,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,prefix_mod_selectors,28,101,0,25,25,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,prefix_mod_selectors,28,101,0,25,25,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,prefix_mod_selectors,28,101,0,25,25,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,prefix_mod_selectors,28,101,0,25,25,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,prefix_mod_selectors,28,101,0,25,25,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,counts_selprod,36,101,0,36,36,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,counts_selprod,36,101,0,36,36,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,counts_selprod,36,101,0,36,36,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,counts_selprod,36,101,0,36,36,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,counts_selprod,36,101,0,36,36,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,counts_selprod,36,101,0,36,36,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,counts_selprod,36,101,0,36,36,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,counts_quad,72,101,0,66,66,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,counts_quad,72,101,0,66,66,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,counts_quad,72,101,0,66,66,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,counts_quad,72,101,0,66,66,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,counts_quad,72,101,0,66,66,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,counts_quad,72,101,0,66,66,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,counts_quad,72,101,0,66,66,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,counts_indicators,68,101,0,17,17,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,counts_indicators,68,101,0,17,17,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,counts_indicators,68,101,0,17,17,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,counts_indicators,68,101,0,17,17,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,counts_indicators,68,101,0,17,17,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,counts_indicators,68,101,0,17,17,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,counts_indicators,68,101,0,17,17,0,8192,inconsistent linear system,buckets=8; selectors=raw3:raw10:xor6_7
ex287,pair_count_0,counts,8,101,0,8,8,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_1,counts,8,101,0,8,8,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_2,counts,8,101,0,8,8,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_3,counts,8,101,0,8,8,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_4,counts,8,101,0,8,8,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_5,counts,8,101,0,8,8,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_6,counts,8,101,0,8,8,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_0,counts_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_1,counts_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_2,counts_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_3,counts_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_4,counts_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_5,counts_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_6,counts_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_0,prefix_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_1,prefix_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_2,prefix_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_3,prefix_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_4,prefix_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_5,prefix_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_6,prefix_selectors,12,101,0,12,12,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_0,prefix_mod_selectors,26,101,0,26,26,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_1,prefix_mod_selectors,26,101,0,26,26,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_2,prefix_mod_selectors,26,101,0,26,26,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_3,prefix_mod_selectors,26,101,0,26,26,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_4,prefix_mod_selectors,26,101,0,26,26,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_5,prefix_mod_selectors,26,101,0,26,26,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_6,prefix_mod_selectors,26,101,0,26,26,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_0,counts_selprod,40,101,0,40,40,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_1,counts_selprod,40,101,0,40,40,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_2,counts_selprod,40,101,0,40,40,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_3,counts_selprod,40,101,0,40,40,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_4,counts_selprod,40,101,0,40,40,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_5,counts_selprod,40,101,0,40,40,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_6,counts_selprod,40,101,0,40,40,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_0,counts_quad,68,101,0,64,64,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_1,counts_quad,68,101,0,64,64,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_2,counts_quad,68,101,0,64,64,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_3,counts_quad,68,101,0,64,64,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_4,counts_quad,68,101,0,64,64,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_5,counts_quad,68,101,0,64,64,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_6,counts_quad,68,101,0,64,64,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_0,counts_indicators,61,101,0,19,19,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_1,counts_indicators,61,101,0,19,19,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_2,counts_indicators,61,101,0,19,19,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_3,counts_indicators,61,101,0,19,19,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_4,counts_indicators,61,101,0,19,19,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_5,counts_indicators,61,101,0,19,19,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_6,counts_indicators,61,101,0,19,19,0,16384,inconsistent linear system,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex288,pair_count_0,counts,10,101,0,10,10,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_1,counts,10,101,0,10,10,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_2,counts,10,101,0,10,10,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_3,counts,10,101,0,10,10,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_4,counts,10,101,0,10,10,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_5,counts,10,101,0,10,10,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_6,counts,10,101,0,10,10,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_7,counts,10,101,0,10,10,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_0,counts_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_1,counts_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_2,counts_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_3,counts_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_4,counts_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_5,counts_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_6,counts_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_7,counts_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_0,prefix_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_1,prefix_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_2,prefix_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_3,prefix_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_4,prefix_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_5,prefix_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_6,prefix_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_7,prefix_selectors,13,101,0,13,13,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_0,prefix_mod_selectors,31,101,0,29,29,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_1,prefix_mod_selectors,31,101,0,29,29,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_2,prefix_mod_selectors,31,101,0,29,29,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_3,prefix_mod_selectors,31,101,0,29,29,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_4,prefix_mod_selectors,31,101,0,29,29,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_5,prefix_mod_selectors,31,101,0,29,29,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_6,prefix_mod_selectors,31,101,0,29,29,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_7,prefix_mod_selectors,31,101,0,29,29,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_0,counts_selprod,40,101,0,40,40,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_1,counts_selprod,40,101,0,40,40,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_2,counts_selprod,40,101,0,40,40,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_3,counts_selprod,40,101,0,40,40,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_4,counts_selprod,40,101,0,40,40,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_5,counts_selprod,40,101,0,40,40,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_6,counts_selprod,40,101,0,40,40,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_7,counts_selprod,40,101,0,40,40,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_0,counts_quad,85,101,0,80,80,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_1,counts_quad,85,101,0,80,80,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_2,counts_quad,85,101,0,80,80,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_3,counts_quad,85,101,0,80,80,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_4,counts_quad,85,101,0,80,80,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_5,counts_quad,85,101,0,80,80,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_6,counts_quad,85,101,0,80,80,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_7,counts_quad,85,101,0,80,80,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_0,counts_indicators,76,101,0,19,19,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_1,counts_indicators,76,101,0,19,19,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_2,counts_indicators,76,101,0,19,19,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_3,counts_indicators,76,101,0,19,19,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_4,counts_indicators,76,101,0,19,19,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_5,counts_indicators,76,101,0,19,19,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_6,counts_indicators,76,101,0,19,19,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex288,pair_count_7,counts_indicators,76,101,0,19,19,0,32768,inconsistent linear system,buckets=9; selectors=raw13:raw10:xor6_7
ex289,pair_count_0,counts,9,101,0,9,9,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_1,counts,9,101,0,9,9,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_2,counts,9,101,0,9,9,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_3,counts,9,101,0,9,9,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_4,counts,9,101,0,9,9,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_5,counts,9,101,0,9,9,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_6,counts,9,101,0,9,9,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_7,counts,9,101,0,9,9,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_0,counts_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_1,counts_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_2,counts_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_3,counts_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_4,counts_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_5,counts_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_6,counts_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_7,counts_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_0,prefix_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_1,prefix_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_2,prefix_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_3,prefix_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_4,prefix_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_5,prefix_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_6,prefix_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_7,prefix_selectors,13,101,0,13,13,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_0,prefix_mod_selectors,29,101,0,26,26,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_1,prefix_mod_selectors,29,101,0,26,26,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_2,prefix_mod_selectors,29,101,0,26,26,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_3,prefix_mod_selectors,29,101,0,26,26,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_4,prefix_mod_selectors,29,101,0,26,26,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_5,prefix_mod_selectors,29,101,0,26,26,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_6,prefix_mod_selectors,29,101,0,26,26,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_7,prefix_mod_selectors,29,101,0,26,26,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_0,counts_selprod,45,101,0,45,45,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_1,counts_selprod,45,101,0,45,45,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_2,counts_selprod,45,101,0,45,45,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_3,counts_selprod,45,101,0,45,45,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_4,counts_selprod,45,101,0,45,45,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_5,counts_selprod,45,101,0,45,45,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_6,counts_selprod,45,101,0,45,45,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_7,counts_selprod,45,101,0,45,45,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_0,counts_quad,81,101,0,77,77,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_1,counts_quad,81,101,0,77,77,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_2,counts_quad,81,101,0,77,77,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_3,counts_quad,81,101,0,77,77,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_4,counts_quad,81,101,0,77,77,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_5,counts_quad,81,101,0,77,77,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
ex289,pair_count_6,counts_quad,81,101,0,77,77,0,65536,inconsistent linear system,buckets=8; selectors=xor10_11:xor6_7:raw15:raw14
