case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex238,ex238_sign_only_abc_g_aig,fp16_reciprocal_cube,sign_only,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/verilog/ex238_sign_only.v,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/aigs/ex238_sign_only_abc_g_aig.aig,1,1,1,1593,17,27081,16549,1.636413,0,0,6.367,sign_bit=base_exact,semantic_selected_bit_wrapper,sign_bit=base_exact
ex238,ex238_mag_b11_t4_abc_g_aig,fp16_reciprocal_cube,mag_b11_t4,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/verilog/ex238_mag_b11_t4.v,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/aigs/ex238_mag_b11_t4_abc_g_aig.aig,1,1,1,1600,19,30400,16549,1.836969,0,0,7.148,sign_bit=base_exact; bits=11; threshold=4; const_groups=21; range_groups=11; table_groups=0; range_items=27; table_items=0; max_runs=3,semantic_selected_bit_wrapper,sign_bit=base_exact; bits=11; threshold=4; const_groups=21; range_groups=11; table_groups=0; range_items=27; table_items=0; max_runs=3
ex238,ex238_mag_b11_t8_abc_g_aig,fp16_reciprocal_cube,mag_b11_t8,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/verilog/ex238_mag_b11_t8.v,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/aigs/ex238_mag_b11_t8_abc_g_aig.aig,1,1,1,1600,19,30400,16549,1.836969,0,0,7.228,sign_bit=base_exact; bits=11; threshold=8; const_groups=21; range_groups=11; table_groups=0; range_items=27; table_items=0; max_runs=3,semantic_selected_bit_wrapper,sign_bit=base_exact; bits=11; threshold=8; const_groups=21; range_groups=11; table_groups=0; range_items=27; table_items=0; max_runs=3
ex238,ex238_mag_b10_t4_abc_g_aig,fp16_reciprocal_cube,mag_b10_t4,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/verilog/ex238_mag_b10_t4.v,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/aigs/ex238_mag_b10_t4_abc_g_aig.aig,1,1,1,1583,18,28494,16549,1.721796,0,0,6.981,sign_bit=base_exact; bits=10; threshold=4; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4,semantic_selected_bit_wrapper,sign_bit=base_exact; bits=10; threshold=4; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4
ex238,ex238_mag_b10_t8_abc_g_aig,fp16_reciprocal_cube,mag_b10_t8,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/verilog/ex238_mag_b10_t8.v,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/aigs/ex238_mag_b10_t8_abc_g_aig.aig,1,1,1,1583,18,28494,16549,1.721796,0,0,6.986,sign_bit=base_exact; bits=10; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4,semantic_selected_bit_wrapper,sign_bit=base_exact; bits=10; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4
ex238,ex238_mag_b9_t8_abc_g_aig,fp16_reciprocal_cube,mag_b9_t8,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/verilog/ex238_mag_b9_t8.v,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/aigs/ex238_mag_b9_t8_abc_g_aig.aig,1,1,1,1561,16,24976,16549,1.509215,0,0,7.211,sign_bit=base_exact; bits=9; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=73; table_items=0; max_runs=7,semantic_selected_bit_wrapper,sign_bit=base_exact; bits=9; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=73; table_items=0; max_runs=7
ex238,ex238_mag_b9_t16_abc_g_aig,fp16_reciprocal_cube,mag_b9_t16,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/verilog/ex238_mag_b9_t16.v,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/aigs/ex238_mag_b9_t16_abc_g_aig.aig,1,1,1,1561,16,24976,16549,1.509215,0,0,7.209,sign_bit=base_exact; bits=9; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=73; table_items=0; max_runs=7,semantic_selected_bit_wrapper,sign_bit=base_exact; bits=9; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=73; table_items=0; max_runs=7
ex238,ex238_mag_b11_10_t8_abc_g_aig,fp16_reciprocal_cube,mag_b11_10_t8,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/verilog/ex238_mag_b11_10_t8.v,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/aigs/ex238_mag_b11_10_t8_abc_g_aig.aig,1,1,1,1587,18,28566,16549,1.726147,0,0,7.320,"sign_bit=base_exact; bits=11,10; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4",semantic_selected_bit_wrapper,"sign_bit=base_exact; bits=11,10; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4"
ex238,ex238_mag_b11_10_9_t8_abc_g_aig,fp16_reciprocal_cube,mag_b11_10_9_t8,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/verilog/ex238_mag_b11_10_9_t8.v,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/aigs/ex238_mag_b11_10_9_t8_abc_g_aig.aig,1,1,1,1579,17,26843,16549,1.622032,0,0,7.295,"sign_bit=base_exact; bits=11,10,9; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7",semantic_selected_bit_wrapper,"sign_bit=base_exact; bits=11,10,9; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7"
ex238,ex238_mag_b11_10_9_t16_abc_g_aig,fp16_reciprocal_cube,mag_b11_10_9_t16,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/verilog/ex238_mag_b11_10_9_t16.v,student/work/ex238_frontend_fp16_grouped_pattern_followup_20260608_1010/ex238/aigs/ex238_mag_b11_10_9_t16_abc_g_aig.aig,1,1,1,1579,17,26843,16549,1.622032,0,0,7.146,"sign_bit=base_exact; bits=11,10,9; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7",semantic_selected_bit_wrapper,"sign_bit=base_exact; bits=11,10,9; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7"
