case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_synth_preset_d24,signed low4_high4:a*b,baugh_wooley_wallace+synth_preset_d24,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex260/aigs/ex260_smul_baugh_wooley_wallace_synth_preset_d24.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.274,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=synth_preset_d24
ex260,ex260_smul_baugh_wooley_wallace_synth_preset_d28,signed low4_high4:a*b,baugh_wooley_wallace+synth_preset_d28,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex260/aigs/ex260_smul_baugh_wooley_wallace_synth_preset_d28.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.244,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=synth_preset_d28
ex260,ex260_smul_baugh_wooley_wallace_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex260/aigs/ex260_smul_baugh_wooley_wallace_abc_g_aig_d9.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.205,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace+abc_g_aig_d11,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex260/aigs/ex260_smul_baugh_wooley_wallace_abc_g_aig_d11.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.198,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_abc_g_aig_d13,signed low4_high4:a*b,baugh_wooley_wallace+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex260/aigs/ex260_smul_baugh_wooley_wallace_abc_g_aig_d13.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.199,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_abc_g_aig_d15,signed low4_high4:a*b,baugh_wooley_wallace+abc_g_aig_d15,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex260/aigs/ex260_smul_baugh_wooley_wallace_abc_g_aig_d15.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.197,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=abc_g_aig_d15
ex261,ex261_smul_baugh_wooley_wallace_default,signed low5_high5:a*b,baugh_wooley_wallace+default,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_default.aig,1,1,1,215,20,4300,2041,2.106810,0,0,0.230,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=default
ex261,ex261_smul_baugh_wooley_wallace_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_abc_g_aig.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.231,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_wreduce_abc_g_aig.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.233,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_arith_wreduce_aig,signed low5_high5:a*b,baugh_wooley_wallace+arith_wreduce_aig,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_arith_wreduce_aig.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.232,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=arith_wreduce_aig
ex261,ex261_smul_baugh_wooley_wallace_synth_preset,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.275,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d9,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d9,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d9.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.275,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d9
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d11,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d11,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d11.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.288,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d11
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d13.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.276,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d15,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d15,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d15.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.275,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d15
