case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop2_trunc_hcla0_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_hcla0+abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_hcla0.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_hcla0_abc_g_aig.aig,1,1,1,740,40,29600,15078,1.963125,0,0,0.864,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_hcla0; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_trunc_hcla0_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_hcla0+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_hcla0.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_hcla0_wreduce_abc_g_aig.aig,1,1,1,731,42,30702,15078,2.036212,0,0,0.845,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_hcla0; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop2_trunc_hcla0_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc_hcla0+synth_preset,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_hcla0.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_hcla0_synth_preset.aig,1,1,1,730,41,29930,15078,1.985011,0,0,0.994,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_hcla0; flow=synth_preset
ex273,ex273_square_hybrid_bddtop2_trunc_hcla0_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_trunc_hcla0+synth_preset_d20,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_hcla0.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_hcla0_synth_preset_d20.aig,1,1,1,730,41,29930,15078,1.985011,0,0,3.132,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_hcla0; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop2_trunc_hcla4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_hcla4+abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_hcla4.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_hcla4_abc_g_aig.aig,1,1,1,733,40,29320,15078,1.944555,0,0,1.336,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_hcla4; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_trunc_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_hcla4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_hcla4.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_hcla4_wreduce_abc_g_aig.aig,1,1,1,725,42,30450,15078,2.019499,0,0,0.813,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_hcla4; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop2_trunc_hcla4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc_hcla4+synth_preset,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_hcla4.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_hcla4_synth_preset.aig,1,1,1,721,52,37492,15078,2.486537,0,0,0.957,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_hcla4; flow=synth_preset
ex273,ex273_square_hybrid_bddtop2_trunc_hcla4_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_trunc_hcla4+synth_preset_d20,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_hcla4.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_hcla4_synth_preset_d20.aig,1,1,1,721,52,37492,15078,2.486537,0,0,0.957,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_hcla4; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop2_trunc_hcla8_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_hcla8+abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_hcla8.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_hcla8_abc_g_aig.aig,1,1,1,734,39,28626,15078,1.898528,0,0,0.809,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_hcla8; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_trunc_hcla8_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_hcla8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_hcla8.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_hcla8_wreduce_abc_g_aig.aig,1,1,1,729,42,30618,15078,2.030641,0,0,0.824,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_hcla8; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop2_trunc_hcla8_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc_hcla8+synth_preset,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_hcla8.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_hcla8_synth_preset.aig,1,1,1,722,44,31768,15078,2.106911,0,0,0.996,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_hcla8; flow=synth_preset
ex273,ex273_square_hybrid_bddtop2_trunc_hcla8_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_trunc_hcla8+synth_preset_d20,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_hcla8.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_hcla8_synth_preset_d20.aig,1,1,1,722,44,31768,15078,2.106911,0,0,0.984,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_hcla8; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop3_trunc_hcla0_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_hcla0+abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_hcla0.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_hcla0_abc_g_aig.aig,1,1,1,744,42,31248,15078,2.072423,0,0,0.799,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_hcla0; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop3_trunc_hcla0_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_hcla0+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_hcla0.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_hcla0_wreduce_abc_g_aig.aig,1,1,1,749,41,30709,15078,2.036676,0,0,0.824,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_hcla0; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop3_trunc_hcla0_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_trunc_hcla0+synth_preset,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_hcla0.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_hcla0_synth_preset.aig,1,1,1,742,41,30422,15078,2.017642,0,0,0.974,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_hcla0; flow=synth_preset
ex273,ex273_square_hybrid_bddtop3_trunc_hcla0_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop3_trunc_hcla0+synth_preset_d20,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_hcla0.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_hcla0_synth_preset_d20.aig,1,1,1,742,41,30422,15078,2.017642,0,0,0.960,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_hcla0; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop3_trunc_hcla4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_hcla4+abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_hcla4.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_hcla4_abc_g_aig.aig,1,1,1,756,39,29484,15078,1.955432,0,0,0.802,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_hcla4; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop3_trunc_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_hcla4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_hcla4.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_hcla4_wreduce_abc_g_aig.aig,1,1,1,755,39,29445,15078,1.952845,0,0,0.821,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_hcla4; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop3_trunc_hcla4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_trunc_hcla4+synth_preset,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_hcla4.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_hcla4_synth_preset.aig,1,1,1,748,46,34408,15078,2.282000,0,0,0.976,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_hcla4; flow=synth_preset
ex273,ex273_square_hybrid_bddtop3_trunc_hcla4_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop3_trunc_hcla4+synth_preset_d20,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_hcla4.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_hcla4_synth_preset_d20.aig,1,1,1,748,46,34408,15078,2.282000,0,0,0.972,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_hcla4; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop3_trunc_hcla8_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_hcla8+abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_hcla8.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_hcla8_abc_g_aig.aig,1,1,1,750,40,30000,15078,1.989654,0,0,0.772,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_hcla8; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop3_trunc_hcla8_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_hcla8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_hcla8.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_hcla8_wreduce_abc_g_aig.aig,1,1,1,752,39,29328,15078,1.945086,0,0,0.802,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_hcla8; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop3_trunc_hcla8_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_trunc_hcla8+synth_preset,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_hcla8.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_hcla8_synth_preset.aig,1,1,1,752,41,30832,15078,2.044834,0,0,0.969,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_hcla8; flow=synth_preset
ex273,ex273_square_hybrid_bddtop3_trunc_hcla8_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop3_trunc_hcla8+synth_preset_d20,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_hcla8.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_hcla8_synth_preset_d20.aig,1,1,1,752,41,30832,15078,2.044834,0,0,0.974,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_hcla8; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop4_trunc_hcla0_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_trunc_hcla0+abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_trunc_hcla0.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_trunc_hcla0_abc_g_aig.aig,1,1,1,796,39,31044,15078,2.058894,0,0,0.827,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_trunc_hcla0; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_trunc_hcla0_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_trunc_hcla0+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_trunc_hcla0.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_trunc_hcla0_wreduce_abc_g_aig.aig,1,1,1,789,41,32349,15078,2.145444,0,0,0.852,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_trunc_hcla0; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop4_trunc_hcla0_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_trunc_hcla0+synth_preset,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_trunc_hcla0.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_trunc_hcla0_synth_preset.aig,1,1,1,779,47,36613,15078,2.428240,0,0,0.986,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_trunc_hcla0; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_trunc_hcla0_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop4_trunc_hcla0+synth_preset_d20,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_trunc_hcla0.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_trunc_hcla0_synth_preset_d20.aig,1,1,1,779,47,36613,15078,2.428240,0,0,0.982,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_trunc_hcla0; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop4_trunc_hcla4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_trunc_hcla4+abc_g_aig,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_trunc_hcla4.v,student/work/ex273_ex274_frontend_square_trunc_hcla_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_trunc_hcla4_abc_g_aig.aig,1,1,1,795,36,28620,15078,1.898130,0,0,0.811,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_trunc_hcla4; flow=abc_g_aig
