case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex274,ex274_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_perbit+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4_perbit.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig.aig,1,1,1,1060,42,44520,21630,2.058252,0,0,3.497,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_perbit; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop4_perbit_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_perbit+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4_perbit.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_perbit_synth_preset.aig,1,1,1,1056,41,43296,21630,2.001664,0,0,3.689,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_perbit; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_abc_g_aig.aig,1,1,1,994,44,43736,21630,2.022006,0,0,3.454,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_wreduce_abc_g_aig.aig,1,1,1,990,44,43560,21630,2.013870,0,0,3.454,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_synth_preset.aig,1,1,1,990,43,42570,21630,1.968100,0,0,3.654,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=synth_preset
ex274,ex274_square_hybrid_bddtop3_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_abc_g_aig.aig,1,1,1,1017,43,43731,21630,2.021775,0,0,3.428,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop3_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_wreduce_abc_g_aig.aig,1,1,1,1017,43,43731,21630,2.021775,0,0,3.450,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop3_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_synth_preset.aig,1,1,1,1014,42,42588,21630,1.968932,0,0,3.662,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=synth_preset
ex274,ex274_square_hybrid_bddtop4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_abc_g_aig.aig,1,1,1,1063,41,43583,21630,2.014933,0,0,3.482,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_wreduce_abc_g_aig.aig,1,1,1,1061,42,44562,21630,2.060194,0,0,3.474,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_synth_preset.aig,1,1,1,1055,41,43255,21630,1.999769,0,0,3.668,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=synth_preset
ex274,ex274_square_wallace_square_outside_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_abc_g_aig.aig,1,1,1,967,44,42548,21630,1.967083,0,0,3.416,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig
ex274,ex274_square_wallace_square_outside_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_wreduce_abc_g_aig.aig,1,1,1,970,44,42680,21630,1.973185,0,0,3.446,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=wreduce_abc_g_aig
